pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11843938108,,,4
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,8,Albania,ALB,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3771553,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,12,Algeria,DZA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,124611311,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,24,Angola,AGO,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9935335,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,28,Antigua and Barbuda,ATG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,31,Azerbaijan,AZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,308649,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,56074,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1792478,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,44,Bahamas,BHS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,107,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,48,Bahrain,BHR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,168343,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,192504439,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,51,Armenia,ARM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5477,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,134477985,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,60,Bermuda,BMU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,475,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,33953,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,84,Belize,BLZ,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,19,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,92,Br. Virgin Isds,VGB,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,46,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1295240,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7962599,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11570463,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,120,Cameroon,CMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10167172,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,632013,,,0
H5,2021,2021,2021,2,0,2,Export,804,Ukraine,UKR,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11552566,,,0
