countryName,countryNumber,worldTradeValue,ukrTradeValue,percent
Bulgaria,100,126065539,1785108,0.014160158391898043
Myanmar,104,186573547,10425310,0.05587774991489013
Belarus,112,157137700,11944400,0.07601231276771901
Canada,124,1359133146,6086839,0.004478471456541168
Sri Lanka,144,528073810,37574340,0.07115357605028737
China,156,19955450303,3265665733,0.16364780966676842
Colombia,170,2569703198,4463051,0.0017367962975154455
Costa Rica,188,490249109,416294,0.0008491478971764944
Croatia,191,100138847,332695,0.0033223370346974336
Cyprus,196,160889134,8101099,0.05035205795812165
Czechia,203,211622687,997857,0.004715264767430157
Denmark,208,186240638,1159019,0.006223233621010254
El Salvador,222,297347760,120132,0.00040401178741013554
Ethiopia,231,1683142236,418257607,0.24849807583344372
Estonia,233,23082594,302213,0.013092679271662449
Angola,24,597620057,14559840,0.024363037735194354
France,251,1108194798,473840,0.0004275782568688795
Georgia,268,127667363,247064,0.001935216598779439
Germany,276,3674236974,56995705,0.015512256123739068
Greece,300,633823026,12935005,0.020407912728623398
Azerbaijan,31,388606723,303198,0.0007802181024027215
Guatemala,320,678796352,195228,0.0002876090883882652
Honduras,340,380266031,27725,0.00007290948372930003
Hungary,348,345933759,7047179,0.02037146944077233
Indonesia,360,4073969401,946519561,0.23233349783325974
Australia,36,215240319,68270,0.0003171803513262773
Ireland,372,500122534,43579377,0.08713739941180094
Israel,376,1144011000,4046000,0.0035366792801817463
Italy,381,4181152267,249279344,0.05961977179531405
Japan,392,7528081040,1055018,0.00014014434679890216
Jordan,400,939590741,86777480,0.09235667851265043
Kenya,404,1035133793,78631567,0.07596270890945592
Austria,40,738662797,1883437,0.0025497926897758735
Rep. of Korea,410,5023158728,145917111,0.029048875200106957
Kuwait,414,582046375,865553,0.0014870859731752474
Kyrgyzstan,417,60193473,36110,0.0005998989292410491
Lebanon,422,430570048,202605159,0.4705509822178806
Latvia,428,225014076,2282983,0.010145956380079974
Lithuania,440,101793237,10118220,0.09939972731194313
Luxembourg,442,67015261,1388,0.000020711700279731808
Madagascar,450,350312582,13095731,0.037382987859682415
Malaysia,458,2146150923,15780722,0.007353034602963009
Malta,470,29947777,859,0.000028683264203550066
Mauritania,478,250475966,53081956,0.21192434886147918
Mexico,484,7615941738,27792517,0.0036492554638815435
"Other Asia, nes",490,1869516716,24110063,0.012896414775892274
Rep. of Moldova,498,26597224,2732221,0.10272579574469877
Montenegro,499,11308913,1776,0.00015704427118680636
Morocco,504,2389378455,326418945,0.13661249197126454
Mozambique,508,676218878,10761997,0.01591496089525025
Oman,512,826165626,72724759,0.08802685165214075
Armenia,51,89534524,6306,0.00007043093231835353
Netherlands,528,4070386054,646908077,0.15893039834987602
New Zealand,554,270489837,82102,0.0003035308125088633
Nigeria,566,2737584918,491897414,0.17968297924411636
Belgium,56,2599813418,180271590,0.06934020293605547
Norway,579,172072910,800303,0.004650952901302128
Pakistan,586,930742349,477854607,0.5134123396377229
Philippines,608,3448059647,127695115,0.03703390546364293
Poland,616,572303710,18170940,0.03175051931779369
Portugal,620,1104859683,179835757,0.162767960282247
Qatar,634,197824397,637060,0.003220330806821567
Romania,642,760664026,2058857,0.0027066575118934308
Russian Federation,643,268902007,1654430,0.006152538682985731
Brazil,76,3163443440,52954,0.000016739354126084834
