pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,126065539,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,689400,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2789381,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,26664,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10032,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3616736,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12039450,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,170,Colombia,COL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,564,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,28832,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,87736,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12771927,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,502123,,,0
H5,2021,2021,2021,2,0,1,Import,100,Bulgaria,BGR,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11213029,,,0
