pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1359133146,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,4,Afghanistan,AFG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,42552,,,0
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1943217,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1213067,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,70244,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,551411,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1435,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,60,Bermuda,BMU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,19,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8171515,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,466109,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8030,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,405,,,4
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,108,Burundi,BDI,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2886,,,0
H5,2021,2021,2021,2,0,1,Import,124,Canada,CAN,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,43974,,,4
