pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,186240638,,,4
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,12,Algeria,DZA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,28,Antigua and Barbuda,ATG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1608,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1893555,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5852,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,292337,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8177,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6267806,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,112928,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,20748,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,442,,,0
H5,2021,2021,2021,2,0,1,Import,208,Denmark,DNK,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3247367,,,0
