pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,23082594,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,96,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,115504,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,697804,,,4
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13644,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,25730,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,177208,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,897127,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1599,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,552,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,3198,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,119834,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,493303,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,487311,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,453189,,,0
H5,2021,2021,2021,2,0,1,Import,233,Estonia,EST,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,847560,,,0
