pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1108194798,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,12,Algeria,DZA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,35025,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,580795,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,134252,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,27166189,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,105823,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,142059395,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4642044,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,105502,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,761337,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2491715,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,24,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,62410903,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,120,Cameroon,CMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,516,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,151996,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,208926,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12628632,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1453176,,,4
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,170,Colombia,COL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,49974,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,178,Congo,COG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,66,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,184,Cook Isds,COK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,96,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1845956,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1942428,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,204,Benin,BEN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,169,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5363916,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,212,Dominica,DMA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,42,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,214,Dominican Rep.,DOM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,96,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,218,Ecuador,ECU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,281729,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,231,Ethiopia,ETH,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,83,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,240218,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1024575,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,268,Georgia,GEO,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,27576,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,270,Gambia,GMB,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,15,,,0
H5,2021,2021,2021,2,0,1,Import,251,France,FRA,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,125075104,,,0
