pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3674236974,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3627647,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,146225360,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,22243,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,97908142,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8718494,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,572800,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,526289,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1909053,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,77109,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11628341,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,50016818,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,821143,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3068859,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4774352,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2731097,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,196,Cyprus,CYP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,257,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,633150788,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,130035722,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,218,Ecuador,ECU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,195094,,,4
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,222,El Salvador,SLV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,409406,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,231,Ethiopia,ETH,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,80609,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6588338,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,66424630,,,0
H5,2021,2021,2021,2,0,1,Import,276,Germany,DEU,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,497291099,,,0
