pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4073969401,,,4
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,355842721,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1476714152,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,77876015,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,58129923,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1609412,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,265750,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,645270151,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1886649,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,200,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,20,,,0
H5,2021,2021,2021,2,0,1,Import,360,Indonesia,IDN,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,588226,,,0
