pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4181152267,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4134264,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,166240135,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,320519252,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,857245,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,21941107,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1054640,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,70,Bosnia Herzegovina,BIH,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,23253,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,34675939,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,77678455,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1522150,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3941251,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,419696924,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,635253,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,41809,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,723813,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,274621207,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,196,Cyprus,CYP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,70306,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,14385231,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11664562,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,218,Ecuador,ECU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,47444,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,231,Ethiopia,ETH,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,166042,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1374499,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,257936,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,451123570,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,124000437,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,116576680,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,328,Guyana,GUY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,14654707,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,761984986,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,360,Indonesia,IDN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,30307,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,364,Iran,IRN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9442,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,212363,,,0
H5,2021,2021,2021,2,0,1,Import,381,Italy,ITA,384,Côte d'Ivoire,CIV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1379,,,0
