pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7528081040,,,4
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,409492594,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,696001681,,,4
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,626699,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,54831,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,55095,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,64,Bhutan,BTN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4983,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,548870,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,678160396,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,32764,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,667737627,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,51278,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2401133,,,4
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,62082891,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,77081,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,385979,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11572827,,,4
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7449294,,,0
H5,2021,2021,2021,2,0,1,Import,392,Japan,JPN,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,468436,,,0
