pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,225014076,,,4
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6091,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,403120,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,96396,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,186710,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,313823,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4260491,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,66,,,4
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,357479,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,736928,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,15399211,,,4
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,30339,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1123237,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2540133,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,148095,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,15433,,,0
H5,2021,2021,2021,2,0,1,Import,428,Latvia,LVA,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1,,,0
