pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1869516716,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,345319356,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,104043626,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,192571,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,842937,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,352962833,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,869219,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,365412,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4600580,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,16793,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1157038,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,304325,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,37239,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,324735,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,337518,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5385403,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,454,Malawi,MWI,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1217,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,490,"Other Asia, nes",,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,61660,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,498,Rep. of Moldova,MDA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2027188,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,600,Paraguay,PRY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,162457,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,604,Peru,PER,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1394690,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,643,Russian Federation,RUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,298990,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,699,India,IND,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3911256,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8582019,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,710,South Africa,ZAF,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,138254722,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,724,Spain,ESP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10169,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,729,Sudan,SDN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,370174,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,764,Thailand,THA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,21154608,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,804,Ukraine,UKR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,24110063,,,0
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,842,USA,USA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,851693097,,,4
H5,2021,2021,2021,2,0,1,Import,490,"Other Asia, nes",,858,Uruguay,URY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,724809,,,0
