pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4070386054,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,4,Afghanistan,AFG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6027,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,12,Algeria,DZA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,63,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,24,Angola,AGO,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,117,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12477382,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,136510,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10815179,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7685,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,294476471,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2362875,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,70,Bosnia Herzegovina,BIH,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,42,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,96894636,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,49827516,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,7427645,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,108,Burundi,BDI,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,274,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,73365,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,19038891,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,120,Cameroon,CMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,139,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,354042,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,144,Sri Lanka,LKA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,162817,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6720770,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1757451,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,180,Dem. Rep. of the Congo,COD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,176,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,188,Costa Rica,CRI,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,281,,,0
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,50014,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,196,Cyprus,CYP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12243,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12927055,,,4
H5,2021,2021,2021,2,0,1,Import,528,Netherlands,NLD,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,41107225,,,4
