pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3448059647,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4847362,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,702544437,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10238,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1705395,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,57019624,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,150963947,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1312174,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,34359901,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,486,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,51988329,,,4
H5,2021,2021,2021,2,0,1,Import,608,Philippines,PHL,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,42005669,,,4
