pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,572303710,,,4
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,31,Azerbaijan,AZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,60,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,18287698,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,10946524,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6087508,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,68,Bolivia (Plurinational State of),BOL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,61842,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,28656,,,4
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,762089,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,40730003,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,454552,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4884746,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,265485,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,349559,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,108798,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,73257665,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12810006,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,218,Ecuador,ECU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8537,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,660245,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,72305489,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,24816974,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,288,Ghana,GHA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8252793,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,328,Guyana,GUY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9012666,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,34798301,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,364,Iran,IRN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,192,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1872,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,376,Israel,ISR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,101,,,4
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,17797766,,,0
H5,2021,2021,2021,2,0,1,Import,616,Poland,POL,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11962,,,4
