pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,1104859683,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1291754,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,33375,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,50,Bangladesh,BGD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,31685,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,290573,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,136034494,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,39746726,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,143998,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,116,Cambodia,KHM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,3538882,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,48398903,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,6551,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,193765,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,435,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,11407045,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,233,Estonia,EST,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9477092,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,246,Finland,FIN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,22438,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,218517422,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,35672818,,,4
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1066329,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,328,Guyana,GUY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,29294920,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,212984,,,0
H5,2021,2021,2021,2,0,1,Import,620,Portugal,PRT,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,23255,,,0
