pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,0,World,WLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,760664026,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,32,Argentina,ARG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,411001,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,27614,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,40,Austria,AUT,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,8866210,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,195089,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,100,Bulgaria,BGR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,262178465,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,104,Myanmar,MMR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1645220,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,112,Belarus,BLR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,158627,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,502,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,152,Chile,CHL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9471,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,191,Croatia,HRV,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,14395696,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,196,Cyprus,CYP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,793407,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,798589,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,208,Denmark,DNK,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,2093558,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,58698881,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,9241879,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,300,Greece,GRC,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,5482430,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,320,Guatemala,GTM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,925,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,328,Guyana,GUY,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,482875,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,348,Hungary,HUN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,330061762,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,364,Iran,IRN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,68772,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,372,Ireland,IRL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,68,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,12982310,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,,,11,,,4
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,410,Rep. of Korea,KOR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,867,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,428,Latvia,LVA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13492,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,440,Lithuania,LTU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,25249,,,0
H5,2021,2021,2021,2,0,1,Import,642,Romania,ROU,442,Luxembourg,LUX,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1257,,,0
