"Збір урожаю культур сільськогосподарських на 01 грудня 2021 року1
Harvesting of аgricultural crops as of 01 December 20211",,,,,,,,,,,,,,,,,,
,"Код 
рядка / Line code","Площа зібрана, тис.га /
Harvested area, thsd.ha ",,"Обсяг виробництва, тис.ц / 
Volume of production, 
thsd. centner",,"Урожайність, ц з 1 га зібраної площі / 
Yield, centner per ha of the harvested area ",,,,,,,,,,,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,,,,,,,,,,
Господарства усіх категорій / All agricultural holdings,,,,,,,,,,,,,,,,,,
Культури зерновi та зернобобовi2,0030,15380.3,104.2,845703.6,133.5,55.0,128.2,Cereal and leguminous crops2,,,,,,,,,,
пшениця,0040,7055.5,108.3,327196.7,129.4,46.4,119.6,wheat,,,,,,,,,,
пшениця озима,0050,6869.8,108.2,319284.1,129.6,46.5,119.8,winter wheat ,,,,,,,,,,
пшениця яра,0080,185.7,112.3,7912.6,125.2,42.6,111.5,spring wheat ,,,,,,,,,,
кукурудза,0110,4972.3,100.9,398193.7,141.9,80.1,140.8,maize,,,,,,,,,,
ячмінь,0120,2464.0,103.9,96462.3,123.2,39.2,118.8,barley,,,,,,,,,,
ячмінь озимий,0130,1132.3,112.8,49481.8,147.5,43.7,130.8,winter barley,,,,,,,,,,
ячмінь ярий,0140,1331.7,97.4,46980.5,104.9,35.3,108.0,spring barley,,,,,,,,,,
жито озиме,0160,171.6,126.3,6161.2,131.7,36.0,104.3,winter rye,,,,,,,,,,
овес,0210,177.3,89.1,4947.9,92.5,27.9,103.7,oat,,,,,,,,,,
гречка,0220,87.8,106.7,1133.5,109.0,13.0,102.4,buckwheat,,,,,,,,,,
просо,0240,81.8,52.9,2057.1,80.1,25.2,151.8,millet,,,,,,,,,,
рис,0250,9.3,89.4,515.1,88.7,55.3,99.1,rice,,,,,,,,,,
культури зернобобові,0270,310.5,100.0,7016.9,113.1,22.6,113.0,leguminous crops,,,,,,,,,,
з них горох,0320,239.2,102.5,5819.3,118.4,24.3,115.2,of wich peas,,,,,,,,,,
Соя,0410,1271.5,96.3,34093.4,123.5,26.8,128.2,Soya beans,,,,,,,,,,
Ріпак озимий та кольза (ріпак ярий)              ,0480,1004.0,90.8,29600.8,114.4,29.5,126.1,Winter rapeseed and colza (spring rapeseed),,,,,,,,,,
ріпак озимий,0490,971.8,90.1,28843.0,114.1,29.7,126.9,winter rapeseed,,,,,,,,,,
кольза (ріпак ярий),0500,32.2,119.3,757.8,128.6,23.6,107.8,colza (spring rapeseed),,,,,,,,,,
Соняшник2,0520,6523.9,102.2,164398.4,125.1,25.2,122.3,Sunflower seeds2,,,,,,,,,,
Буряк цукровий фабричний,0750,212.6,105.4,98346.2,119.1,462.6,113.0,Sugar beet (for processing),,,,,,,,,,
Картопля,1250,1280.4,96.6,212995.1,102.1,166.3,105.7,Potatoes,,,,,,,,,,
Культури овочеві,1320,х,х,98858.8,102.7,х,х,Vegetables ,,,,,,,,,,
культури овочеві відкритого ґрунту,1321,454.7,99.7,94165.4,103.3,207.1,103.6,vegetables grown in the open,,,,,,,,,,
культури овочеві закритого ґрунту,1322,х,х,4693.4,92.4,х,х,vegetables grown in greenhouses,,,,,,,,,,
Буряк кормовий,2180,170.6,92.3,50533.4,94.6,296.2,102.5,Fodder beet ,,,,,,,,,,
Кукурудза кормова,2230,191.8,80.9,59470.5,101.9,310.1,126.0,Fodder corn ,,,,,,,,,,
Культури плодові та ягідні3,7260,х,х,20640.7,106.2,х,х,Fruits and berries3,,,,,,,,,,
культури плодові,3200,х,х,19282.4,106.1,х,х,fruits ,,,,,,,,,,
культури ягідні,3480,х,х,1358.3,108.6,х,х,berries ,,,,,,,,,,
Виноград,3770,х,х,2353.4,87.4,х,х,Grapes,,,,,,,,,,
