"Збір урожаю пшениці ярої на 01 грудня 2021 року1
Harvesting of spring wheat as of 01 December 20211",,,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,,
Україна,,185.7,7912.6,42.6,128.3,5805.2,45.2,57.4,2107.4,36.8,Ukraine,,,
,Вінницька,10.7,550.9,51.5,7.8,404.9,51.9,2.9,146.0,50.5,Vinnytsya,,,
,Волинська,13.8,503.2,36.5,7.8,337.2,43.3,6.0,166.0,27.7,Volyn,,,
,Дніпропетровська,3.3,97.1,28.8,2.6,74.3,27.8,0.7,22.8,32.4,Dnipropetrovsk,,,
,Донецька,1.7,53.7,30.5,0.8,26.5,32.5,0.9,27.2,28.8,Donetsk,,,
,Житомирська,22.1,1056.7,47.9,18.3,934.2,51.1,3.8,122.5,32.5,Zhytomyr,,,
,Закарпатська,0.5,16.0,30.1,0.2,9.0,36.6,0.3,7.0,24.5,Zakarpattya,,,
,Запорізька,3.0,84.1,27.9,2.4,66.2,27.1,0.6,17.9,31.2,Zaporizhzhya,,,
,Івано-Франківська,6.1,253.9,41.9,2.4,101.8,43.4,3.7,152.1,41.0,Ivano-Frankivsk,,,
,Київська,14.9,680.5,45.7,11.4,581.5,51.0,3.5,99.0,28.4,Kyiv,,,
,Кіровоградська,2.7,91.8,33.8,1.9,67.4,34.3,0.8,24.4,32.3,Kirovohrad,,,
,Луганська,1.1,40.2,36.7,0.8,32.0,40.8,0.3,8.2,26.5,Luhansk,,,
,Львівська,20.8,882.6,42.4,11.2,477.7,42.5,9.6,404.9,42.2,Lviv,,,
,Миколаївська,3.8,127.4,33.5,2.4,81.9,34.2,1.4,45.5,32.2,Mikolayiv,,,
,Одеська,4.7,175.1,38.0,2.3,93.6,41.5,2.4,81.5,34.6,Odesa,,,
,Полтавська,3.7,121.3,32.7,1.8,60.0,33.2,1.9,61.3,32.2,Poltava,,,
,Рівненська,6.5,282.4,43.6,4.0,187.6,47.2,2.5,94.8,37.8,Rivne ,,,
,Сумська,7.6,299.6,38.9,5.9,240.7,40.5,1.7,58.9,33.7,Sumy,,,
,Тернопільська,18.9,890.6,47.2,11.7,599.8,51.2,7.2,290.8,40.5,Ternopil,,,
,Харківська,9.6,396.8,41.4,7.4,295.1,39.8,2.2,101.7,46.5,Kharkiv,,,
,Херсонська,1.5,38.9,25.9,1.0,28.0,27.9,0.5,10.9,22.0,Kherson,,,
,Хмельницька,9.6,433.4,45.7,7.7,359.3,47.1,1.9,74.1,39.8,Khmelnytskiy,,,
,Черкаська,5.2,231.9,45.1,4.3,197.8,46.8,0.9,34.1,37.1,Cherkasy,,,
,Чернівецька,2.6,95.5,36.5,1.3,50.7,37.8,1.3,44.8,35.2,Chernivtsi,,,
,Чернігівська,11.3,509.0,44.9,10.9,498.0,45.6,0.4,11.0,26.5,Chernihiv,,,
"на 01 грудня 2020 / 
as of 01 December 2020",,165.5,6318.9,38.2,106.1,4341.9,40.9,59.4,1977.0,33.4,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,,
