"Динаміка обсягу виробництва пшениці ярої на 01 грудня 2021 року1
Dynamics of spring wheat production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,7912.6,125.2,5805.2,133.7,2107.4,106.6,Ukraine
,Вінницька,550.9,152.1,404.9,144.3,146.0,179.1,Vinnytsya
,Волинська,503.2,116.4,337.2,126.2,166.0,100.5,Volyn
,Дніпропетровська,97.1,93.9,74.3,94.5,22.8,91.7,Dnipropetrovsk
,Донецька,53.7,112.8,26.5,101.0,27.2,127.2,Donetsk
,Житомирська,1056.7,182.9,934.2,224.4,122.5,75.9,Zhytomyr
,Закарпатська,16.0,175.0,9.0,15742.3,7.0,77.2,Zakarpattya
,Запорізька,84.1,83.6,66.2,84.1,17.9,81.8,Zaporizhzhya
,Івано-Франківська,253.9,72.1,101.8,50.7,152.1,100.3,Ivano–Frankivsk
,Київська,680.5,125.9,581.5,127.5,99.0,117.1,Kyiv
,Кіровоградська,91.8,84.6,67.4,77.2,24.4,115.1,Kirovohrad
,Луганська,40.2,51.7,32.0,46.1,8.2,98.8,Luhansk
,Львівська,882.6,103.4,477.7,115.5,404.9,91.9,Lviv
,Миколаївська,127.4,91.0,81.9,70.7,45.5,188.0,Mikolayiv
,Одеська,175.1,201.2,93.6,215.7,81.5,186.8,Odesa
,Полтавська,121.3,87.8,60.0,84.1,61.3,91.7,Poltava
,Рівненська,282.4,113.6,187.6,113.7,94.8,113.6,Rivne 
,Сумська,299.6,102.8,240.7,102.8,58.9,102.8,Sumy
,Тернопільська,890.6,135.8,599.8,165.9,290.8,98.8,Ternopil
,Харківська,396.8,145.1,295.1,146.4,101.7,141.4,Kharkiv
,Херсонська,38.9,63.2,28.0,59.6,10.9,74.9,Kherson
,Хмельницька,433.4,157.6,359.3,160.3,74.1,145.6,Khmelnytskiy
,Черкаська,231.9,93.9,197.8,93.4,34.1,96.8,Cherkasy
,Чернівецька,95.5,231.4,50.7,373.8,44.8,161.7,Chernivtsi
,Чернігівська,509.0,173.1,498.0,178.9,11.0,70.8,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
