"Збір урожаю кукурудзи на 01 грудня 2021 року1
Harvesting of maize as of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,4972.3,398193.7,80.1,3888.7,343799.7,88.4,1083.6,54394.0,50.2,Ukraine,
,Вінницька,423.3,42397.6,100.2,357.7,37838.0,105.8,65.6,4559.6,69.5,Vinnytsya,
,Волинська,49.1,4804.3,97.8,46.1,4663.9,101.1,3.0,140.4,47.0,Volyn,
,Дніпропетровська,295.3,15277.6,51.7,105.5,7494.0,71.0,189.8,7783.6,41.0,Dnipropetrovsk,
,Донецька,55.7,2473.2,44.3,17.1,785.1,45.7,38.6,1688.1,43.7,Donetsk,
,Житомирська,250.8,23077.7,92.0,233.2,21935.1,94.1,17.6,1142.6,64.9,Zhytomyr,
,Закарпатська,46.0,2330.2,50.6,8.2,771.0,94.4,37.8,1559.2,41.2,Zakarpattya,
,Запорізька,36.6,2757.5,75.1,26.3,2382.1,90.3,10.3,375.4,36.3,Zaporizhzhya,
,Івано-Франківська,66.3,5590.0,84.3,46.9,4467.7,95.2,19.4,1122.3,58.0,Ivano-Frankivsk,
,Київська,320.3,30490.4,95.2,301.5,29480.6,97.8,18.8,1009.8,53.7,Kyiv,
,Кіровоградська,323.2,22637.8,70.0,227.6,17683.8,77.7,95.6,4954.0,51.8,Kirovohrad,
,Луганська,53.1,1547.7,29.1,31.2,932.2,29.9,21.9,615.5,28.1,Luhansk,
,Львівська,66.7,6292.3,94.4,59.2,5929.2,100.2,7.5,363.1,48.5,Lviv,
,Миколаївська,117.4,5954.1,50.7,37.4,2905.7,77.6,80.0,3048.4,38.1,Mikolayiv,
,Одеська,131.4,8238.7,62.7,70.6,5303.8,75.1,60.8,2934.9,48.3,Odesa,
,Полтавська,598.3,40361.2,67.5,499.3,34501.2,69.1,99.0,5860.0,59.2,Poltava,
,Рівненська,88.0,7824.3,88.9,82.4,7474.8,90.7,5.6,349.5,62.0,Rivne ,
,Сумська,402.1,29270.6,72.8,378.0,28143.2,74.5,24.1,1127.4,46.7,Sumy,
,Тернопільська,150.5,15310.1,101.7,133.2,14313.6,107.5,17.3,996.5,57.5,Ternopil,
,Харківська,281.1,14843.3,52.8,180.5,10427.7,57.7,100.6,4415.6,43.9,Kharkiv,
,Херсонська,56.2,5097.3,90.7,36.3,3890.5,107.3,19.9,1206.8,60.5,Kherson,
,Хмельницька,270.6,29949.5,110.7,247.9,28481.8,114.9,22.7,1467.7,64.7,Khmelnytskiy,
,Черкаська,362.1,32639.1,90.1,303.8,29308.9,96.5,58.3,3330.2,57.1,Cherkasy,
,Чернівецька,60.3,4491.3,74.5,13.5,1332.1,98.9,46.8,3159.2,67.5,Chernivtsi,
,Чернігівська,467.9,44537.9,95.2,445.3,43353.7,97.4,22.6,1184.2,52.3,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,4927.4,280599.9,56.9,3851.8,240287.0,62.4,1075.6,40312.9,37.5,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
