"Динаміка обсягу виробництва кукурудзи на 01 грудня 2021 року1
Dynamics of maize production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,398193.7,141.9,343799.7,143.1,54394.0,134.9,Ukraine
,Вінницька,42397.6,187.0,37838.0,187.8,4559.6,180.5,Vinnytsya
,Волинська,4804.3,167.3,4663.9,171.4,140.4,93.3,Volyn
,Дніпропетровська,15277.6,206.0,7494.0,214.2,7783.6,198.7,Dnipropetrovsk
,Донецька,2473.2,137.6,785.1,157.1,1688.1,130.1,Donetsk
,Житомирська,23077.7,176.6,21935.1,183.9,1142.6,100.2,Zhytomyr
,Закарпатська,2330.2,121.2,771.0,144.7,1559.2,112.2,Zakarpattya
,Запорізька,2757.5,168.2,2382.1,166.6,375.4,179.4,Zaporizhzhya
,Івано-Франківська,5590.0,160.5,4467.7,185.9,1122.3,103.8,Ivano–Frankivsk
,Київська,30490.4,175.2,29480.6,176.7,1009.8,139.9,Kyiv
,Кіровоградська,22637.8,216.2,17683.8,230.5,4954.0,176.9,Kirovohrad
,Луганська,1547.7,83.7,932.2,81.7,615.5,86.8,Luhansk
,Львівська,6292.3,185.3,5929.2,197.3,363.1,92.9,Lviv
,Миколаївська,5954.1,188.0,2905.7,230.2,3048.4,160.1,Mikolayiv
,Одеська,8238.7,220.8,5303.8,260.1,2934.9,173.4,Odesa
,Полтавська,40361.2,111.4,34501.2,110.9,5860.0,114.6,Poltava
,Рівненська,7824.3,166.8,7474.8,171.7,349.5,104.2,Rivne 
,Сумська,29270.6,80.8,28143.2,80.3,1127.4,95.5,Sumy
,Тернопільська,15310.1,153.0,14313.6,160.5,996.5,91.6,Ternopil
,Харківська,14843.3,105.4,10427.7,107.0,4415.6,101.7,Kharkiv
,Херсонська,5097.3,138.0,3890.5,147.3,1206.8,114.6,Kherson
,Хмельницька,29949.5,129.4,28481.8,131.3,1467.7,101.1,Khmelnytskiy
,Черкаська,32639.1,214.9,29308.9,224.4,3330.2,156.3,Cherkasy
,Чернівецька,4491.3,134.5,1332.1,307.3,3159.2,108.7,Chernivtsi
,Чернігівська,44537.9,113.9,43353.7,113.1,1184.2,150.8,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
