"Збір урожаю ячменю на 01 грудня 2021 року1
Harvesting of barley as of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,2464.0,96462.3,39.2,1314.1,57181.8,43.5,1149.9,39280.5,34.2,Ukraine,
,Вінницька,95.1,4544.0,47.8,52.1,2604.8,50.0,43.0,1939.2,45.1,Vinnytsya,
,Волинська,32.2,1119.5,34.7,9.3,490.0,53.0,22.9,629.5,27.4,Volyn,
,Дніпропетровська,248.8,8217.6,33.0,108.2,4336.7,40.1,140.6,3880.9,27.6,Dnipropetrovsk,
,Донецька,117.4,3571.2,30.5,55.1,1734.6,31.6,62.3,1836.6,29.5,Donetsk,
,Житомирська,31.3,1273.3,40.7,16.4,733.8,44.8,14.9,539.5,36.2,Zhytomyr,
,Закарпатська,2.0,56.6,29.7,0.4,9.3,27.1,1.6,47.3,30.3,Zakarpattya,
,Запорізька,195.1,6785.8,34.8,115.2,4298.7,37.3,79.9,2487.1,31.1,Zaporizhzhya,
,Івано-Франківська,25.2,1132.7,45.0,10.7,553.7,51.5,14.5,579.0,40.1,Ivano-Frankivsk,
,Київська,68.8,2915.0,42.4,33.2,1602.6,48.4,35.6,1312.4,36.9,Kyiv,
,Кіровоградська,131.8,5542.2,42.0,81.7,3760.6,46.0,50.1,1781.6,35.6,Kirovohrad,
,Луганська,38.0,1084.1,28.4,19.7,602.7,30.5,18.3,481.4,26.2,Luhansk,
,Львівська,37.7,1820.7,48.2,23.7,1330.6,56.1,14.0,490.1,35.0,Lviv,
,Миколаївська,306.5,11583.9,37.8,177.1,7409.4,41.8,129.4,4174.5,32.3,Mikolayiv,
,Одеська,371.5,15602.3,42.0,251.7,11076.2,44.0,119.8,4526.1,37.8,Odesa,
,Полтавська,89.8,3337.7,37.2,28.5,1267.0,44.3,61.3,2070.7,33.8,Poltava,
,Рівненська,45.1,1791.0,39.8,9.5,467.5,49.4,35.6,1323.5,37.2,Rivne ,
,Сумська,33.8,1343.3,39.8,14.6,641.2,43.8,19.2,702.1,36.7,Sumy,
,Тернопільська,82.9,3855.1,46.5,34.6,2013.6,58.2,48.3,1841.5,38.1,Ternopil,
,Харківська,135.9,5097.7,37.5,54.0,2208.1,40.9,81.9,2889.6,35.3,Kharkiv,
,Херсонська,209.9,8434.7,40.2,122.6,5273.4,43.0,87.3,3161.3,36.2,Kherson,
,Хмельницька,71.0,3358.7,47.3,38.3,2066.0,54.0,32.7,1292.7,39.5,Khmelnytskiy,
,Черкаська,54.6,2387.4,43.7,34.2,1644.8,48.2,20.4,742.6,36.4,Cherkasy,
,Чернівецька,18.4,717.7,38.9,5.1,239.0,46.6,13.3,478.7,36.0,Chernivtsi,
,Чернігівська,21.2,890.1,41.9,18.2,817.5,44.8,3.0,72.6,24.1,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,2371.6,78328.6,33.0,1225.7,43972.6,35.9,1145.9,34356.0,30.0,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
