"Динаміка обсягу виробництва ячменю на 01 грудня 2021 року1
Dynamics of barley production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,96462.3,123.2,57181.8,130.0,39280.5,114.3,Ukraine
,Вінницька,4544.0,125.0,2604.8,118.8,1939.2,134.5,Vinnytsya
,Волинська,1119.5,94.9,490.0,91.7,629.5,97.5,Volyn
,Дніпропетровська,8217.6,106.5,4336.7,118.5,3880.9,95.8,Dnipropetrovsk
,Донецька,3571.2,102.0,1734.6,105.4,1836.6,99.1,Donetsk
,Житомирська,1273.3,109.8,733.8,117.3,539.5,100.9,Zhytomyr
,Закарпатська,56.6,86.2,9.3,87.3,47.3,86.0,Zakarpattya
,Запорізька,6785.8,115.3,4298.7,116.7,2487.1,112.8,Zaporizhzhya
,Івано-Франківська,1132.7,89.6,553.7,80.7,579.0,100.2,Ivano–Frankivsk
,Київська,2915.0,112.6,1602.6,116.9,1312.4,107.7,Kyiv
,Кіровоградська,5542.2,138.5,3760.6,142.8,1781.6,130.2,Kirovohrad
,Луганська,1084.1,88.9,602.7,79.8,481.4,103.7,Luhansk
,Львівська,1820.7,100.5,1330.6,102.0,490.1,96.5,Lviv
,Миколаївська,11583.9,138.2,7409.4,151.9,4174.5,119.3,Mikolayiv
,Одеська,15602.3,285.4,11076.2,358.4,4526.1,190.4,Odesa
,Полтавська,3337.7,106.1,1267.0,108.5,2070.7,104.7,Poltava
,Рівненська,1791.0,102.6,467.5,101.1,1323.5,103.1,Rivne 
,Сумська,1343.3,80.0,641.2,67.1,702.1,97.1,Sumy
,Тернопільська,3855.1,86.8,2013.6,77.8,1841.5,99.4,Ternopil
,Харківська,5097.7,87.5,2208.1,82.1,2889.6,92.1,Kharkiv
,Херсонська,8434.7,129.0,5273.4,126.8,3161.3,132.7,Kherson
,Хмельницька,3358.7,102.5,2066.0,93.6,1292.7,120.7,Khmelnytskiy
,Черкаська,2387.4,122.9,1644.8,128.7,742.6,111.7,Cherkasy
,Чернівецька,717.7,101.4,239.0,76.6,478.7,121.0,Chernivtsi
,Чернігівська,890.1,77.5,817.5,75.5,72.6,108.8,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
