"Збір урожаю ячменю озимого на 01 грудня 2021 року1
Harvesting of winter barley as of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,1132.3,49481.8,43.7,875.6,40078.8,45.8,256.7,9403.0,36.6,Ukraine,
,Вінницька,35.9,1875.2,52.3,28.8,1524.4,53.0,7.1,350.8,49.5,Vinnytsya,
,Волинська,7.4,377.0,51.1,5.6,326.8,58.9,1.8,50.2,27.4,Volyn,
,Дніпропетровська,106.1,4268.5,40.2,84.0,3622.1,43.2,22.1,646.4,29.2,Dnipropetrovsk,
,Донецька,14.3,501.6,35.1,13.8,485.6,35.3,0.5,16.0,30.0,Donetsk,
,Житомирська,10.6,476.3,44.8,7.3,337.5,45.9,3.3,138.8,42.4,Zhytomyr,
,Закарпатська,1.1,29.4,29.1,0.3,6.2,25.6,0.8,23.2,30.2,Zakarpattya,
,Запорізька,87.7,3583.6,40.9,82.3,3414.0,41.5,5.4,169.6,31.6,Zaporizhzhya,
,Івано-Франківська,8.6,455.8,53.1,5.9,336.6,57.0,2.7,119.2,44.5,Ivano-Frankivsk,
,Київська,8.6,430.5,50.6,8.0,408.1,51.6,0.6,22.4,37.5,Kyiv,
,Кіровоградська,78.9,3793.3,48.1,63.8,3151.6,49.4,15.1,641.7,42.5,Kirovohrad,
,Луганська,5.6,155.8,27.4,4.8,129.4,26.6,0.8,26.4,31.7,Luhansk,
,Львівська,21.9,1240.2,56.7,18.6,1112.2,59.8,3.3,128.0,39.0,Lviv,
,Миколаївська,227.2,9171.1,40.4,161.5,6987.1,43.3,65.7,2184.0,33.2,Mikolayiv,
,Одеська,316.0,13534.8,42.8,226.8,10217.9,45.1,89.2,3316.9,37.2,Odesa,
,Полтавська,10.3,499.4,48.4,9.3,466.7,49.8,1.0,32.7,34.1,Poltava,
,Рівненська,5.5,259.9,47.3,2.4,151.6,62.9,3.1,108.3,35.1,Rivne ,
,Сумська,3.1,174.0,57.4,3.0,171.4,57.8,0.1,2.6,37.9,Sumy,
,Тернопільська,16.5,927.8,56.3,10.8,704.6,65.3,5.7,223.2,39.2,Ternopil,
,Харківська,15.1,656.6,43.6,15.0,654.1,43.7,0.1,2.5,35.6,Kharkiv,
,Херсонська,118.0,5322.3,45.1,96.6,4403.0,45.6,21.4,919.3,43.0,Kherson,
,Хмельницька,12.5,647.3,51.7,9.1,518.7,56.8,3.4,128.6,37.9,Khmelnytskiy,
,Черкаська,14.8,763.1,51.7,13.3,704.7,53.2,1.5,58.4,38.4,Cherkasy,
,Чернівецька,5.0,253.1,50.7,3.0,160.5,53.9,2.0,92.6,46.0,Chernivtsi,
,Чернігівська,1.6,85.2,50.8,1.6,84.0,51.5,0.0,1.2,26.2,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,1003.3,33543.6,33.4,747.1,26332.4,35.2,256.2,7211.2,28.1,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
