"Динаміка обсягу виробництва ячменю озимого на 01 грудня 2021 року1
Dynamics of winter barley production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,49481.8,147.5,40078.8,152.2,9403.0,130.4,Ukraine
,Вінницька,1875.2,124.5,1524.4,118.0,350.8,163.9,Vinnytsya
,Волинська,377.0,110.9,326.8,111.8,50.2,105.5,Volyn
,Дніпропетровська,4268.5,118.1,3622.1,125.6,646.4,88.4,Dnipropetrovsk
,Донецька,501.6,108.5,485.6,110.7,16.0,67.7,Donetsk
,Житомирська,476.3,127.4,337.5,141.2,138.8,103.0,Zhytomyr
,Закарпатська,29.4,67.2,6.2,77.9,23.2,64.9,Zakarpattya
,Запорізька,3583.6,132.8,3414.0,133.3,169.6,123.6,Zaporizhzhya
,Івано-Франківська,455.8,63.5,336.6,56.3,119.2,99.6,Ivano–Frankivsk
,Київська,430.5,123.4,408.1,123.8,22.4,117.3,Kyiv
,Кіровоградська,3793.3,144.8,3151.6,147.5,641.7,132.9,Kirovohrad
,Луганська,155.8,45.0,129.4,38.7,26.4,217.9,Luhansk
,Львівська,1240.2,99.3,1112.2,98.4,128.0,107.4,Lviv
,Миколаївська,9171.1,146.1,6987.1,160.6,2184.0,113.3,Mikolayiv
,Одеська,13534.8,289.9,10217.9,369.4,3316.9,174.4,Odesa
,Полтавська,499.4,129.1,466.7,132.3,32.7,95.9,Poltava
,Рівненська,259.9,128.0,151.6,147.9,108.3,107.7,Rivne 
,Сумська,174.0,125.8,171.4,126.1,2.6,105.8,Sumy
,Тернопільська,927.8,73.5,704.6,66.6,223.2,109.2,Ternopil
,Харківська,656.6,88.8,654.1,89.6,2.5,28.5,Kharkiv
,Херсонська,5322.3,132.8,4403.0,132.9,919.3,132.3,Kherson
,Хмельницька,647.3,95.5,518.7,90.2,128.6,125.7,Khmelnytskiy
,Черкаська,763.1,177.5,704.7,182.0,58.4,136.9,Cherkasy
,Чернівецька,253.1,69.1,160.5,63.0,92.6,83.0,Chernivtsi
,Чернігівська,85.2,131.5,84.0,133.2,1.2,68.9,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
