"Збір урожаю ячменю ярого на 01 грудня 2021 року1
Harvesting of spring barley as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,1331.7,46980.5,35.3,438.5,17103.0,39.0,893.2,29877.5,33.4,Ukraine,,
,Вінницька,59.2,2668.8,45.0,23.3,1080.4,46.4,35.9,1588.4,44.2,Vinnytsya,,
,Волинська,24.8,742.5,29.9,3.7,163.2,44.1,21.1,579.3,27.4,Volyn,,
,Дніпропетровська,142.7,3949.1,27.7,24.2,714.6,29.5,118.5,3234.5,27.3,Dnipropetrovsk,,
,Донецька,103.1,3069.6,29.8,41.3,1249.0,30.3,61.8,1820.6,29.5,Donetsk,,
,Житомирська,20.7,797.0,38.6,9.1,396.3,43.9,11.6,400.7,34.5,Zhytomyr,,
,Закарпатська,0.9,27.2,30.5,0.1,3.1,30.4,0.8,24.1,30.5,Zakarpattya,,
,Запорізька,107.4,3202.2,29.8,32.9,884.7,26.9,74.5,2317.5,31.1,Zaporizhzhya,,
,Івано-Франківська,16.6,676.9,40.8,4.8,217.1,44.9,11.8,459.8,39.1,Ivano-Frankivsk,,
,Київська,60.2,2484.5,41.3,25.2,1194.5,47.3,35.0,1290.0,36.9,Kyiv,,
,Кіровоградська,52.9,1748.9,33.1,17.9,609.0,33.9,35.0,1139.9,32.6,Kirovohrad,,
,Луганська,32.4,928.3,28.6,14.9,473.3,31.7,17.5,455.0,25.9,Luhansk,,
,Львівська,15.8,580.5,36.6,5.1,218.4,42.5,10.7,362.1,33.8,Lviv,,
,Миколаївська,79.3,2412.8,30.4,15.6,422.3,26.9,63.7,1990.5,31.2,Mikolayiv,,
,Одеська,55.5,2067.5,37.2,24.9,858.3,34.4,30.6,1209.2,39.5,Odesa,,
,Полтавська,79.5,2838.3,35.7,19.2,800.3,41.7,60.3,2038.0,33.8,Poltava,,
,Рівненська,39.6,1531.1,38.7,7.1,315.9,44.8,32.5,1215.2,37.4,Rivne ,,
,Сумська,30.7,1169.3,38.1,11.6,469.8,40.3,19.1,699.5,36.7,Sumy,,
,Тернопільська,66.4,2927.3,44.1,23.8,1309.0,55.0,42.6,1618.3,38.0,Ternopil,,
,Харківська,120.8,4441.1,36.8,39.0,1554.0,39.8,81.8,2887.1,35.3,Kharkiv,,
,Херсонська,91.9,3112.4,33.9,26.0,870.4,33.5,65.9,2242.0,34.0,Kherson,,
,Хмельницька,58.5,2711.4,46.4,29.2,1547.3,53.1,29.3,1164.1,39.7,Khmelnytskiy,,
,Черкаська,39.8,1624.3,40.8,20.9,940.1,45.0,18.9,684.2,36.2,Cherkasy,,
,Чернівецька,13.4,464.6,34.6,2.1,78.5,36.6,11.3,386.1,34.2,Chernivtsi,,
,Чернігівська,19.6,804.9,41.1,16.6,733.5,44.2,3.0,71.4,24.0,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,1368.3,44785.0,32.7,478.6,17640.2,36.9,889.7,27144.8,30.5,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
