"Динаміка обсягу виробництва ячменю ярого на 01 грудня 2021 року1
Dynamics of spring barley production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,46980.5,104.9,17103.0,97.0,29877.5,110.1,Ukraine
,Вінницька,2668.8,125.4,1080.4,120.0,1588.4,129.4,Vinnytsya
,Волинська,742.5,88.4,163.2,67.5,579.3,96.9,Volyn
,Дніпропетровська,3949.1,96.4,714.6,92.0,3234.5,97.4,Dnipropetrovsk
,Донецька,3069.6,101.0,1249.0,103.4,1820.6,99.5,Donetsk
,Житомирська,797.0,101.4,396.3,102.5,400.7,100.2,Zhytomyr
,Закарпатська,27.2,124.2,3.1,114.9,24.1,125.5,Zakarpattya
,Запорізька,3202.2,100.4,884.7,78.8,2317.5,112.1,Zaporizhzhya
,Івано-Франківська,676.9,123.8,217.1,244.8,459.8,100.3,Ivano–Frankivsk
,Київська,2484.5,110.9,1194.5,114.8,1290.0,107.6,Kyiv
,Кіровоградська,1748.9,126.6,609.0,122.6,1139.9,128.8,Kirovohrad
,Луганська,928.3,106.3,473.3,112.3,455.0,100.6,Luhansk
,Львівська,580.5,103.2,218.4,125.7,362.1,93.1,Lviv
,Миколаївська,2412.8,114.7,422.3,79.7,1990.5,126.6,Mikolayiv
,Одеська,2067.5,258.7,858.3,264.6,1209.2,254.7,Odesa
,Полтавська,2838.3,102.9,800.3,98.2,2038.0,104.9,Poltava
,Рівненська,1531.1,99.2,315.9,87.8,1215.2,102.7,Rivne 
,Сумська,1169.3,75.9,469.8,57.3,699.5,97.1,Sumy
,Тернопільська,2927.3,92.1,1309.0,85.6,1618.3,98.1,Ternopil
,Харківська,4441.1,87.3,1554.0,79.3,2887.1,92.3,Kharkiv
,Херсонська,3112.4,122.9,870.4,103.1,2242.0,132.9,Kherson
,Хмельницька,2711.4,104.3,1547.3,94.9,1164.1,120.1,Khmelnytskiy
,Черкаська,1624.3,107.4,940.1,105.6,684.2,109.9,Cherkasy
,Чернівецька,464.6,136.2,78.5,137.1,386.1,136.0,Chernivtsi
,Чернігівська,804.9,74.2,733.5,72.0,71.4,109.9,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
