Продовження / Continuation,,,,,,,,
,"Код 
рядка / Line code","Площа зібрана, тис.га /
Harvested area, thsd.ha ",,"Обсяг виробництва, тис.ц / 
Volume of production, 
thsd. centner",,"Урожайність, ц з 1 га зібраної площі / 
Yield, centner per ha of the harvested area ",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Підприємства / Еnterprises,,,,,,,,
Культури зерновi та зернобобовi2,0030,11177.1,105.2,678736.0,136.1,60.7,129.1,Cereal and leguminous crops2
пшениця,0040,5388.0,109.7,261123.3,130.8,48.5,119.5,wheat
пшениця озима,0050,5259.7,109.5,255318.1,130.8,48.5,119.5,winter wheat 
пшениця яра,0080,128.3,121.0,5805.2,133.7,45.2,110.5,spring wheat 
кукурудза,0110,3888.7,101.0,343799.7,143.1,88.4,141.7,maize
ячмінь,0120,1314.1,107.2,57181.8,130.0,43.5,121.2,barley
ячмінь озимий,0130,875.6,117.1,40078.8,152.2,45.8,130.1,winter barley
ячмінь ярий,0140,438.5,91.7,17103.0,97.0,39.0,105.7,spring barley
жито озиме,0160,116.5,144.0,4647.7,148.2,40.0,103.1,winter rye
овес,0210,54.7,79.3,1636.7,80.6,29.9,101.7,oat
гречка,0220,50.3,112.6,579.2,102.9,11.6,91.3,buckwheat
просо,0240,59.3,46.1,1492.2,68.3,25.2,148.2,millet
рис,0250,9.3,89.4,515.1,88.7,55.3,99.1,rice
культури зернобобові,0270,257.1,99.7,6030.5,113.5,23.5,114.1,leguminous crops
з них горох,0320,221.1,102.4,5390.9,118.3,24.3,115.7,of wich peas
Соя,0410,1088.1,95.7,30470.0,123.1,28.0,128.4,Soya beans
Ріпак озимий та кольза (ріпак ярий)              ,0480,990.6,90.8,29285.8,114.4,29.6,126.0,Winter rapeseed and colza (spring rapeseed)
ріпак озимий,0490,959.0,90.1,28542.5,114.1,29.8,126.8,winter rapeseed
кольза (ріпак ярий),0500,31.6,119.9,743.3,129.2,23.6,107.8,colza (spring rapeseed)
Соняшник2,0520,5418.8,102.4,142289.8,123.6,26.3,120.6,Sunflower seeds2
Буряк цукровий фабричний,0750,198.8,106.5,93356.7,120.7,469.5,113.4,Sugar beet (for processing)
Картопля,1250,16.5,97.0,4306.9,110.4,255.8,113.8,Potatoes
Культури овочеві,1320,х,х,13690.2,92.9,х,х,Vegetables 
культури овочеві відкритого ґрунту,1321,32.8,94.5,12910.5,92.7,393.1,98.2,vegetables grown in the open
культури овочеві закритого ґрунту,1322,х,х,779.7,95.6,х,х,vegetables grown in greenhouses
Буряк кормовий,2180,0.1,96.0,81.8,125.0,399.0,130.3,Fodder beet 
Кукурудза кормова,2230,174.9,79.7,55817.2,102.1,319.2,128.1,Fodder corn 
Культури плодові та ягідні3,7260,х,х,3405.2,120.3,х,х,Fruits and berries3
культури плодові,3200,х,х,3266.4,120.0,х,х,fruits 
культури ягідні,3480,х,х,138.8,129.7,х,х,berries 
Виноград,3770,х,х,729.4,83.5,х,х,Grapes
