"Збір урожаю жита озимого на 01 грудня 2021 року1
Harvesting of winter rye as of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,171.6,6161.2,36.0,116.5,4647.7,40.0,55.1,1513.5,27.5,Ukraine,
,Вінницька,3.1,151.1,50.1,1.9,101.1,54.4,1.2,50.0,43.1,Vinnytsya,
,Волинська,24.0,738.6,30.8,9.6,390.6,40.8,14.4,348.0,24.2,Volyn,
,Дніпропетровська,2.2,68.9,32.0,1.3,47.9,38.3,0.9,21.0,23.3,Dnipropetrovsk,
,Донецька,3.3,86.1,26.4,2.8,75.6,26.9,0.5,10.5,23.0,Donetsk,
,Житомирська,24.5,890.3,36.3,15.8,645.2,40.8,8.7,245.1,28.2,Zhytomyr,
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya,
,Запорізька,1.2,53.4,42.5,0.8,33.1,39.5,0.4,20.3,48.3,Zaporizhzhya,
,Івано-Франківська,1.6,47.5,29.0,к,к,к,к,к,к,Ivano-Frankivsk,
,Київська,17.0,638.4,37.7,13.5,547.7,40.6,3.5,90.7,26.2,Kyiv,
,Кіровоградська,2.7,116.3,44.8,2.5,110.3,45.2,0.2,6.0,38.3,Kirovohrad,
,Луганська,2.9,77.7,26.9,2.2,57.4,26.3,0.7,20.3,28.6,Luhansk,
,Львівська,6.0,202.0,33.8,2.7,108.7,40.0,3.3,93.3,28.7,Lviv,
,Миколаївська,0.6,22.0,35.7,0.5,17.8,37.2,0.1,4.2,30.7,Mikolayiv,
,Одеська,1.3,51.2,41.5,1.2,48.7,42.2,0.1,2.5,31.4,Odesa,
,Полтавська,6.4,259.0,40.3,5.1,216.3,42.4,1.3,42.7,32.0,Poltava,
,Рівненська,22.7,632.5,27.8,11.1,295.6,26.6,11.6,336.9,29.0,Rivne ,
,Сумська,8.5,333.5,39.5,7.7,316.8,41.4,0.8,16.7,21.0,Sumy,
,Тернопільська,1.1,66.2,57.4,1.1,66.2,57.4,–,–,–,Ternopil,
,Харківська,2.1,75.6,36.8,1.1,44.3,42.4,1.0,31.3,31.1,Kharkiv,
,Херсонська,2.1,51.5,24.4,0.9,23.5,26.4,1.2,28.0,23.0,Kherson,
,Хмельницька,3.3,168.7,50.9,2.2,136.3,63.0,1.1,32.4,28.2,Khmelnytskiy,
,Черкаська,2.0,62.9,31.9,1.1,35.5,32.2,0.9,27.4,31.4,Cherkasy,
,Чернівецька,0.5,25.5,54.2,к,к,к,к,к,к,Chernivtsi,
,Чернігівська,32.5,1342.3,41.3,31.1,1308.7,42.1,1.4,33.6,24.0,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,135.9,4678.7,34.5,80.9,3135.6,38.8,55.0,1543.1,28.2,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,
