"Динаміка обсягу виробництва жита озимого на 01 грудня 2021 року1
Dynamics of winter rye production as of 01 December 20211",,,,,,,,,,,,,,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,,,,,,,,,,,,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,,,,,,,,,,,,,
Україна,,6161.2,131.7,4647.7,148.2,1513.5,98.1,Ukraine,,,,,,,,,,,,,
,Вінницька,151.1,298.5,101.1,509.8,50.0,162.5,Vinnytsya,,,,,,,,,,,,,
,Волинська,738.6,104.4,390.6,115.8,348.0,94.0,Volyn,,,,,,,,,,,,,
,Дніпропетровська,68.9,107.7,47.9,108.3,21.0,106.4,Dnipropetrovsk,,,,,,,,,,,,,
,Донецька,86.1,91.2,75.6,95.2,10.5,69.8,Donetsk,,,,,,,,,,,,,
,Житомирська,890.3,135.5,645.2,167.2,245.1,90.3,Zhytomyr,,,,,,,,,,,,,
,Закарпатська,–,–,–,–,–,–,Zakarpattya,,,,,,,,,,,,,
,Запорізька,53.4,263.2,33.1,327.1,20.3,199.6,Zaporizhzhya,,,,,,,,,,,,,
,Івано-Франківська,47.5,98.8,к,к,к,к,Ivano–Frankivsk,,,,,,,,,,,,,
,Київська,638.4,169.1,547.7,195.9,90.7,92.6,Kyiv,,,,,,,,,,,,,
,Кіровоградська,116.3,279.5,110.3,298.1,6.0,130.6,Kirovohrad,,,,,,,,,,,,,
,Луганська,77.7,101.8,57.4,85.5,20.3,221.1,Luhansk,,,,,,,,,,,,,
,Львівська,202.0,108.9,108.7,130.8,93.3,91.1,Lviv,,,,,,,,,,,,,
,Миколаївська,22.0,548.1,17.8,2373.7,4.2,127.8,Mikolayiv,,,,,,,,,,,,,
,Одеська,51.2,641.3,48.7,964.1,2.5,84.7,Odesa,,,,,,,,,,,,,
,Полтавська,259.0,184.2,216.3,215.8,42.7,105.7,Poltava,,,,,,,,,,,,,
,Рівненська,632.5,108.5,295.6,121.5,336.9,99.2,Rivne ,,,,,,,,,,,,,
,Сумська,333.5,130.9,316.8,131.2,16.7,126.3,Sumy,,,,,,,,,,,,,
,Тернопільська,66.2,130.0,66.2,130.0,–,–,Ternopil,,,,,,,,,,,,,
,Харківська,75.6,54.7,44.3,38.0,31.3,146.0,Kharkiv,,,,,,,,,,,,,
,Херсонська,51.5,95.5,23.5,157.2,28.0,71.8,Kherson,,,,,,,,,,,,,
,Хмельницька,168.7,124.0,136.3,130.8,32.4,101.5,Khmelnytskiy,,,,,,,,,,,,,
,Черкаська,62.9,125.3,35.5,122.8,27.4,128.5,Cherkasy,,,,,,,,,,,,,
,Чернівецька,25.5,86.9,к,к,к,к,Chernivtsi,,,,,,,,,,,,,
,Чернігівська,1342.3,148.0,1308.7,151.5,33.6,77.8,Chernihiv,,,,,,,,,,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,,,,,,,,,
