"Збір урожаю вівса на 01 грудня 2021 року1
Harvesting of oat as of 01 December 20211",,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",
Україна,,177.3,4947.9,27.9,54.7,1636.7,29.9,122.6,3311.2,27.0,Ukraine
,Вінницька,1.0,35.0,32.6,0.6,21.6,34.4,0.4,13.4,30.0,Vinnytsya
,Волинська,38.6,956.6,24.8,3.5,113.9,32.4,35.1,842.7,24.0,Volyn
,Дніпропетровська,1.9,60.7,32.5,1.2,40.9,35.7,0.7,19.8,27.5,Dnipropetrovsk
,Донецька,2.8,86.9,31.0,1.6,54.6,34.2,1.2,32.3,26.9,Donetsk
,Житомирська,28.0,775.4,27.6,9.1,249.5,27.3,18.9,525.9,27.8,Zhytomyr
,Закарпатська,1.3,41.5,32.4,к,к,к,к,к,к,Zakarpattya
,Запорізька,0.8,21.5,27.6,0.8,21.5,27.6,–,–,–,Zaporizhzhya
,Івано-Франківська,4.2,121.3,29.2,0.2,5.6,29.1,4.0,115.7,29.2,Ivano-Frankivsk
,Київська,6.0,207.9,34.7,3.6,127.3,35.4,2.4,80.6,33.6,Kyiv
,Кіровоградська,0.5,13.2,29.2,0.4,11.3,30.5,0.1,1.9,23.0,Kirovohrad
,Луганська,3.3,90.2,27.7,2.5,72.1,28.9,0.8,18.1,23.7,Luhansk
,Львівська,12.7,366.2,28.7,1.6,41.2,25.4,11.1,325.0,29.2,Lviv
,Миколаївська,1.1,32.5,30.5,0.2,5.9,31.2,0.9,26.6,30.3,Mikolayiv
,Одеська,1.9,51.7,27.7,1.5,41.2,27.8,0.4,10.5,27.0,Odesa
,Полтавська,1.9,60.3,31.0,1.1,37.7,34.4,0.8,22.6,26.7,Poltava
,Рівненська,20.4,554.5,27.2,2.0,47.5,23.7,18.4,507.0,27.6,Rivne 
,Сумська,11.2,308.9,27.6,6.6,191.0,28.9,4.6,117.9,25.6,Sumy
,Тернопільська,5.3,163.4,30.9,1.3,37.8,28.5,4.0,125.6,31.7,Ternopil
,Харківська,4.8,173.2,36.2,2.0,67.4,33.6,2.8,105.8,38.0,Kharkiv
,Херсонська,1.9,51.8,27.6,0.2,5.0,27.6,1.7,46.8,27.6,Kherson
,Хмельницька,4.3,164.8,38.1,1.1,43.5,39.9,3.2,121.3,37.5,Khmelnytskiy
,Черкаська,1.0,30.9,30.1,0.7,23.9,34.6,0.3,7.0,20.9,Cherkasy
,Чернівецька,0.8,17.4,20.7,к,к,к,к,к,к,Chernivtsi
,Чернігівська,21.6,562.1,25.9,12.9,375.1,29.0,8.7,187.0,21.4,Chernihiv
"на 01 грудня 2020 / 
as of 01 December 2020",,198.8,5349.1,26.9,68.7,2032.0,29.4,130.1,3317.1,25.5,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,
