"Динаміка обсягу виробництва вівса на 01 грудня 2021 року1
Dynamics of oat production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,4947.9,92.5,1636.7,80.6,3311.2,99.8,Ukraine,
,Вінницька,35.0,138.6,21.6,138.7,13.4,138.4,Vinnytsya,
,Волинська,956.6,98.6,113.9,80.0,842.7,101.8,Volyn,
,Дніпропетровська,60.7,214.7,40.9,278.0,19.8,145.9,Dnipropetrovsk,
,Донецька,86.9,103.2,54.6,86.8,32.3,151.3,Donetsk,
,Житомирська,775.4,79.2,249.5,66.5,525.9,87.0,Zhytomyr,
,Закарпатська,41.5,98.0,к,к,к,к,Zakarpattya,
,Запорізька,21.5,132.5,21.5,132.5,–,–,Zaporizhzhya,
,Івано-Франківська,121.3,97.3,5.6,57.0,115.7,100.7,Ivano–Frankivsk,
,Київська,207.9,86.0,127.3,81.9,80.6,93.3,Kyiv,
,Кіровоградська,13.2,139.8,11.3,147.7,1.9,105.6,Kirovohrad,
,Луганська,90.2,150.9,72.1,167.3,18.1,108.5,Luhansk,
,Львівська,366.2,103.4,41.2,102.4,325.0,103.5,Lviv,
,Миколаївська,32.5,117.9,5.9,96.5,26.6,124.1,Mikolayiv,
,Одеська,51.7,244.8,41.2,246.4,10.5,238.8,Odesa,
,Полтавська,60.3,70.5,37.7,66.9,22.6,77.4,Poltava,
,Рівненська,554.5,100.0,47.5,88.9,507.0,101.2,Rivne ,
,Сумська,308.9,67.4,191.0,60.8,117.9,81.8,Sumy,
,Тернопільська,163.4,107.6,37.8,87.7,125.6,115.5,Ternopil,
,Харківська,173.2,89.1,67.4,61.8,105.8,124.1,Kharkiv,
,Херсонська,51.8,105.6,5.0,134.5,46.8,103.2,Kherson,
,Хмельницька,164.8,107.0,43.5,96.7,121.3,111.2,Khmelnytskiy,
,Черкаська,30.9,97.8,23.9,90.7,7.0,133.6,Cherkasy,
,Чернівецька,17.4,80.7,к,к,к,к,Chernivtsi,
,Чернігівська,562.1,84.7,375.1,79.5,187.0,97.7,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
