"Збір урожаю гречки на 01 грудня 2021 року1
Harvesting of buckwheat of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,87.8,1133.5,13.0,50.3,579.2,11.6,37.5,554.3,14.8,Ukraine,
,Вінницька,7.1,115.2,16.1,3.4,63.1,18.6,3.7,52.1,13.9,Vinnytsya,
,Волинська,2.0,22.3,11.4,1.3,14.5,11.4,0.7,7.8,11.4,Volyn,
,Дніпропетровська,0.8,6.5,8.8,0.5,4.7,9.6,0.3,1.8,7.2,Dnipropetrovsk,
,Донецька,3.6,44.9,12.6,0.4,4.4,12.1,3.2,40.5,12.6,Donetsk,
,Житомирська,16.7,241.3,14.5,6.5,62.3,9.6,10.2,179.0,17.6,Zhytomyr,
,Закарпатська,0.4,5.0,12.4,0.4,5.0,12.4,–,–,–,Zakarpattya,
,Запорізька,0.2,1.7,10.9,0.2,1.7,10.9,–,–,–,Zaporizhzhya,
,Івано-Франківська,1.0,10.8,11.8,к,к,к,к,к,к,Ivano-Frankivsk,
,Київська,5.0,84.1,16.8,4.2,69.1,16.6,0.8,15.0,17.9,Kyiv,
,Кіровоградська,1.3,16.6,13.6,1.1,14.2,14.0,0.2,2.4,11.8,Kirovohrad,
,Луганська,0.1,1.2,7.1,0.1,0.9,7.1,0.0,0.3,7.1,Luhansk,
,Львівська,3.4,37.2,11.1,3.1,33.8,11.1,0.3,3.4,11.5,Lviv,
,Миколаївська,2.8,31.9,11.5,0.5,5.6,12.3,2.3,26.3,11.3,Mikolayiv,
,Одеська,0.9,8.9,10.0,0.8,8.2,10.1,0.1,0.7,8.9,Odesa,
,Полтавська,2.2,19.5,9.1,1.5,13.4,9.1,0.7,6.1,9.1,Poltava,
,Рівненська,3.8,44.8,11.9,2.0,13.2,6.6,1.8,31.6,18.0,Rivne ,
,Сумська,7.3,87.1,12.0,4.6,46.6,10.3,2.7,40.5,15.0,Sumy,
,Тернопільська,6.0,72.9,12.2,3.8,44.2,11.8,2.2,28.7,12.9,Ternopil,
,Харківська,5.7,59.4,10.2,1.9,17.2,8.7,3.8,42.2,11.0,Kharkiv,
,Херсонська,0.6,3.5,6.9,0.3,2.0,7.9,0.3,1.5,6.0,Kherson,
,Хмельницька,9.0,162.8,18.2,5.8,99.3,17.3,3.2,63.5,19.8,Khmelnytskiy,
,Черкаська,1.1,15.2,14.3,0.8,11.9,14.7,0.3,3.3,13.0,Cherkasy,
,Чернівецька,0.1,1.2,9.1,к,к,к,к,к,к,Chernivtsi,
,Чернігівська,6.7,39.5,5.8,6.5,37.5,5.7,0.2,2.0,8.4,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,81.6,1039.6,12.7,44.0,563.1,12.7,37.6,476.5,12.7,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,
