"Динаміка обсягу виробництва гречки на 01 грудня 2021 року1
Dynamics of buckwheat production of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,1133.5,109.0,579.2,102.9,554.3,116.3,Ukraine,
,Вінницька,115.2,121.4,63.1,139.2,52.1,105.2,Vinnytsya,
,Волинська,22.3,138.7,14.5,171.7,7.8,102.2,Volyn,
,Дніпропетровська,6.5,169.0,4.7,194.3,1.8,126.2,Dnipropetrovsk,
,Донецька,44.9,282.9,4.4,153.1,40.5,311.3,Donetsk,
,Житомирська,241.3,131.4,62.3,88.4,179.0,158.2,Zhytomyr,
,Закарпатська,5.0,318.0,5.0,318.0,–,–,Zakarpattya,
,Запорізька,1.7,240.7,1.7,240.7,–,–,Zaporizhzhya,
,Івано-Франківська,10.8,125.9,к,к,к,к,Ivano–Frankivsk,
,Київська,84.1,127.8,69.1,127.5,15.0,129.2,Kyiv,
,Кіровоградська,16.6,136.3,14.2,141.1,2.4,113.0,Kirovohrad,
,Луганська,1.2,55.4,0.9,49.7,0.3,77.7,Luhansk,
,Львівська,37.2,113.4,33.8,115.7,3.4,95.2,Lviv,
,Миколаївська,31.9,153.6,5.6,241.7,26.3,142.5,Mikolayiv,
,Одеська,8.9,474.4,8.2,568.3,0.7,154.5,Odesa,
,Полтавська,19.5,74.7,13.4,68.8,6.1,92.0,Poltava,
,Рівненська,44.8,121.6,13.2,194.8,31.6,105.0,Rivne ,
,Сумська,87.1,67.2,46.6,62.2,40.5,74.0,Sumy,
,Тернопільська,72.9,94.3,44.2,96.1,28.7,91.8,Ternopil,
,Харківська,59.4,85.9,17.2,65.1,42.2,98.8,Kharkiv,
,Херсонська,3.5,67.1,2.0,75.7,1.5,58.2,Kherson,
,Хмельницька,162.8,96.6,99.3,106.3,63.5,84.4,Khmelnytskiy,
,Черкаська,15.2,133.5,11.9,147.6,3.3,98.9,Cherkasy,
,Чернівецька,1.2,123.3,к,к,к,к,Chernivtsi,
,Чернігівська,39.5,73.6,37.5,74.0,2.0,65.9,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
