"Збір урожаю проса на 01 грудня 2021 року1
Harvesting of millet of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,81.8,2057.1,25.2,59.3,1492.2,25.2,22.5,564.9,25.1,Ukraine,
,Вінницька,1.5,46.7,32.9,1.3,43.6,35.1,0.2,3.1,17.4,Vinnytsya,
,Волинська,0.6,16.7,26.1,0.6,16.7,26.1,–,–,–,Volyn,
,Дніпропетровська,8.1,181.8,22.5,4.6,106.7,23.4,3.5,75.1,21.4,Dnipropetrovsk,
,Донецька,6.1,176.0,29.1,2.5,78.3,32.1,3.6,97.7,27.1,Donetsk,
,Житомирська,3.8,70.5,18.2,3.4,59.5,17.3,0.4,11.0,25.0,Zhytomyr,
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya,
,Запорізька,6.4,144.1,22.5,5.7,128.6,22.4,0.7,15.5,23.1,Zaporizhzhya,
,Івано-Франківська,0.0,0.2,24.7,0.0,0.2,24.7,–,–,–,Ivano-Frankivsk,
,Київська,3.4,77.7,23.4,3.0,69.5,23.4,0.4,8.2,23.4,Kyiv,
,Кіровоградська,2.5,66.2,26.3,1.7,46.2,27.0,0.8,20.0,24.8,Kirovohrad,
,Луганська,1.5,27.8,18.1,1.4,26.0,18.4,0.1,1.8,14.4,Luhansk,
,Львівська,к,к,к,к,к,к,–,–,–,Lviv,
,Миколаївська,6.9,176.1,25.6,3.6,91.6,25.8,3.3,84.5,25.4,Mikolayiv,
,Одеська,10.0,252.5,25.2,9.5,239.6,25.2,0.5,12.9,24.6,Odesa,
,Полтавська,5.2,138.3,26.7,4.6,125.3,27.3,0.6,13.0,22.6,Poltava,
,Рівненська,0.3,4.1,13.0,0.3,4.1,13.0,–,–,–,Rivne ,
,Сумська,1.1,27.3,24.9,0.9,23.1,25.7,0.2,4.2,21.4,Sumy,
,Тернопільська,к,к,к,к,к,к,–,–,–,Ternopil,
,Харківська,8.7,245.2,28.3,6.1,180.6,29.7,2.6,64.6,25.0,Kharkiv,
,Херсонська,8.1,214.8,26.5,2.6,63.5,24.5,5.5,151.3,27.5,Kherson,
,Хмельницька,0.4,11.6,31.2,0.4,11.5,31.3,0.0,0.1,18.8,Khmelnytskiy,
,Черкаська,2.3,78.0,34.6,2.2,76.8,34.9,0.1,1.2,23.1,Cherkasy,
,Чернівецька,–,–,–,–,–,–,–,–,–,Chernivtsi,
,Чернігівська,4.5,95.8,21.3,4.5,95.1,21.3,0.0,0.7,20.6,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,154.6,2569.8,16.6,128.4,2186.3,17.0,26.2,383.5,14.7,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,
