"Динаміка обсягу виробництва проса на 01 грудня 2021 року1
Dynamics of millet production of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,2057.1,80.1,1492.2,68.3,564.9,147.3,Ukraine,
,Вінницька,46.7,63.9,43.6,62.1,3.1,106.2,Vinnytsya,
,Волинська,16.7,46.3,16.7,46.3,–,–,Volyn,
,Дніпропетровська,181.8,113.7,106.7,114.0,75.1,113.1,Dnipropetrovsk,
,Донецька,176.0,170.9,78.3,131.3,97.7,225.6,Donetsk,
,Житомирська,70.5,42.2,59.5,37.0,11.0,171.5,Zhytomyr,
,Закарпатська,–,–,–,–,–,–,Zakarpattya,
,Запорізька,144.1,70.3,128.6,66.1,15.5,147.2,Zaporizhzhya,
,Івано-Франківська,0.2,9.1,0.2,9.1,–,–,Ivano–Frankivsk,
,Київська,77.7,51.1,69.5,48.3,8.2,100.0,Kyiv,
,Кіровоградська,66.2,93.6,46.2,88.7,20.0,107.4,Kirovohrad,
,Луганська,27.8,45.9,26.0,44.2,1.8,96.2,Luhansk,
,Львівська,к,к,к,к,–,–,Lviv,
,Миколаївська,176.1,145.0,91.6,132.7,84.5,161.4,Mikolayiv,
,Одеська,252.5,120.3,239.6,116.6,12.9,300.2,Odesa,
,Полтавська,138.3,80.1,125.3,79.5,13.0,87.5,Poltava,
,Рівненська,4.1,16.7,4.1,16.7,–,–,Rivne ,
,Сумська,27.3,25.2,23.1,22.5,4.2,71.0,Sumy,
,Тернопільська,к,к,к,к,–,–,Ternopil,
,Харківська,245.2,71.7,180.6,62.7,64.6,120.2,Kharkiv,
,Херсонська,214.8,104.5,63.5,56.0,151.3,164.3,Kherson,
,Хмельницька,11.6,44.6,11.5,44.4,0.1,66.4,Khmelnytskiy,
,Черкаська,78.0,85.8,76.8,85.6,1.2,102.9,Cherkasy,
,Чернівецька,–,–,–,–,–,–,Chernivtsi,
,Чернігівська,95.8,41.7,95.1,41.5,0.7,140.6,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
