"Збір урожаю рису станом на 01 грудня 2021 року1
Harvesting of rice as of 01 December 20211",,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Enterprises ",,,"Господарства населення / 
Households",,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",
Україна,,9.3,515.1,55.3,9.3,515.1,55.3,‒,‒,‒,Ukraine
,Одеська,4.1,213.5,52.2,4.1,213.5,52.2,‒,‒,‒,Odesa
,Херсонська,5.2,301.6,57.8,5.2,301.6,57.8,‒,‒,‒,Kherson
"на 01 грудня 2020 / 
as of 01 December 2020",,10.4,580.8,55.8,10.4,580.8,55.8,‒,‒,‒,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Динаміка обсягу виробництва рису станом на 01 грудня 2021 року1
Dynamics of rice production as of 01 December 20211",,,,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Enterprises ",,,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",,2021,"2021 у % до / 
 % to 2020",,2021,"2021 у % до / 
 % to 2020",,
Україна,,515.1,88.7,,515.1,88.7,,‒,‒,,Ukraine
,Одеська,213.5,105.9,,213.5,105.9,,‒,‒,,Odesa
,Херсонська,301.6,79.5,,301.6,79.5,,‒,‒,,Kherson
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,
