"Збір урожаю культур зернобобових на 01 грудня 2021 року1
Harvesting of leguminous crops as of 01 December 20211",,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,
Україна,,310.5,7016.9,22.6,257.1,6030.5,23.5,53.4,986.4,18.4,Ukraine,
,Вінницька,9.3,225.2,24.1,4.5,155.7,34.7,4.8,69.5,14.4,Vinnytsya,
,Волинська,1.9,50.0,26.1,0.9,33.0,36.9,1.0,17.0,16.7,Volyn,
,Дніпропетровська,18.0,417.9,23.2,15.4,352.7,22.8,2.6,65.2,25.0,Dnipropetrovsk,
,Донецька,24.3,437.2,18.0,22.7,416.2,18.3,1.6,21.0,13.3,Donetsk,
,Житомирська,5.0,123.2,25.2,4.0,96.0,24.4,1.0,27.2,28.5,Zhytomyr,
,Закарпатська,1.4,21.4,14.9,к,к,к,к,к,к,Zakarpattya,
,Запорізька,67.2,1394.3,20.8,63.5,1335.1,21.0,3.7,59.2,16.2,Zaporizhzhya,
,Івано-Франківська,4.9,112.6,23.3,0.4,8.7,25.6,4.5,103.9,23.1,Ivano-Frankivsk,
,Київська,5.4,161.4,29.3,4.6,143.7,30.8,0.8,17.7,21.2,Kyiv,
,Кіровоградська,18.4,470.8,25.7,16.6,438.5,26.5,1.8,32.3,18.3,Kirovohrad,
,Луганська,2.9,68.6,23.7,2.7,64.0,24.1,0.2,4.6,18.7,Luhansk,
,Львівська,3.3,68.3,20.4,1.0,29.9,27.5,2.3,38.4,16.9,Lviv,
,Миколаївська,22.6,574.7,25.3,20.0,501.4,25.0,2.6,73.3,27.8,Mikolayiv,
,Одеська,25.2,489.4,19.4,22.1,449.1,20.3,3.1,40.3,13.0,Odesa,
,Полтавська,9.3,250.8,27.0,8.4,232.2,27.8,0.9,18.6,20.1,Poltava,
,Рівненська,1.2,23.3,19.3,0.3,6.3,21.9,0.9,17.0,18.5,Rivne ,
,Сумська,5.8,161.0,27.8,5.1,148.1,29.2,0.7,12.9,18.1,Sumy,
,Тернопільська,8.0,224.6,28.3,4.8,173.7,36.8,3.2,50.9,15.8,Ternopil,
,Харківська,23.6,603.8,25.7,18.3,497.9,27.3,5.3,105.9,20.1,Kharkiv,
,Херсонська,18.2,365.3,20.0,17.2,345.1,20.0,1.0,20.2,19.3,Kherson,
,Хмельницька,14.5,348.2,24.0,9.7,254.2,26.3,4.8,94.0,19.4,Khmelnytskiy,
,Черкаська,9.5,217.5,23.1,7.2,192.0,26.9,2.3,25.5,11.2,Cherkasy,
,Чернівецька,1.4,28.0,19.7,к,к,к,к,к,к,Chernivtsi,
,Чернігівська,9.2,179.4,19.7,7.4,154.9,21.1,1.8,24.5,13.7,Chernihiv,
"на 01 грудня 2020 / 
as of 01 December 2020",,310.8,6204.5,20.0,258.0,5311.1,20.6,52.8,893.4,16.9,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,
