Продовження / Continuation,,,,,,,,,,,,,,,,
,"Код 
рядка / Line code","Площа зібрана, тис.га /
Harvested area, thsd.ha ",,"Обсяг виробництва, тис.ц / 
Volume of production, 
thsd. centner",,"Урожайність, ц з 1 га зібраної площі / 
Yield, centner per ha of the harvested area ",,,,,,,,,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,,,,,,,,
Господарства населення / Households,,,,,,,,,,,,,,,,
Культури зерновi та зернобобовi2,0030,4203.2,101.6,166967.6,124.0,39.7,122.2,Cereal and leguminous crops2,,,,,,,,
пшениця,0040,1667.5,103.9,66073.4,124.2,39.6,119.6,wheat,,,,,,,,
пшениця озима,0050,1610.1,104.2,63966.0,124.9,39.7,119.9,winter wheat ,,,,,,,,
пшениця яра,0080,57.4,96.6,2107.4,106.6,36.8,110.2,spring wheat ,,,,,,,,
кукурудза,0110,1083.6,100.8,54394.0,134.9,50.2,133.9,maize,,,,,,,,
ячмінь,0120,1149.9,100.4,39280.5,114.3,34.2,114.0,barley,,,,,,,,
ячмінь озимий,0130,256.7,100.2,9403.0,130.4,36.6,130.2,winter barley,,,,,,,,
ячмінь ярий,0140,893.2,100.4,29877.5,110.1,33.4,109.5,spring barley,,,,,,,,
жито озиме,0160,55.1,100.2,1513.5,98.1,27.5,97.5,winter rye,,,,,,,,
овес,0210,122.6,94.4,3311.2,99.8,27.0,105.9,oat,,,,,,,,
гречка,0220,37.5,99.8,554.3,116.3,14.8,116.5,buckwheat,,,,,,,,
просо,0240,22.5,86.1,564.9,147.3,25.1,170.7,millet,,,,,,,,
рис,0250,‒,‒,‒,‒,‒,‒,rice,,,,,,,,
культури зернобобові,0270,53.4,101.4,986.4,110.5,18.4,108.9,leguminous crops,,,,,,,,
з них горох,0320,18.1,104.6,428.4,119.7,24.1,114.2,of wich peas,,,,,,,,
Соя,0410,183.4,100.1,3623.4,126.8,19.8,126.9,Soya beans,,,,,,,,
Ріпак озимий та кольза (ріпак ярий)              ,0480,13.4,95.8,315.0,114.7,23.8,119.6,Winter rapeseed and colza (spring rapeseed),,,,,,,,
ріпак озимий,0490,12.8,95.8,300.5,115.2,23.9,120.1,winter rapeseed,,,,,,,,
кольза (ріпак ярий),0500,0.6,95.5,14.5,105.2,22.6,110.2,colza (spring rapeseed),,,,,,,,
Соняшник2,0520,1105.1,101.1,22108.6,135.3,20.0,134.2,Sunflower seeds2,,,,,,,,
Буряк цукровий фабричний,0750,13.8,92.3,4989.5,95.4,362.4,103.4,Sugar beet (for processing),,,,,,,,
Картопля,1250,1263.9,96.6,208688.2,102.0,165.1,105.5,Potatoes,,,,,,,,
Культури овочеві,1320,х,х,85168.6,104.5,х,х,Vegetables ,,,,,,,,
культури овочеві відкритого ґрунту,1321,421.9,100.2,81254.9,105.2,192.6,105.1,vegetables grown in the open,,,,,,,,
культури овочеві закритого ґрунту,1322,х,х,3913.7,91.8,х,х,vegetables grown in greenhouses,,,,,,,,
Буряк кормовий,2180,170.5,92.3,50451.6,94.6,296.0,102.5,Fodder beet ,,,,,,,,
Кукурудза кормова,2230,16.9,96.2,3653.3,99.3,216.1,103.2,Fodder corn ,,,,,,,,
Культури плодові та ягідні3,7260,х,х,17235.5,103.9,х,х,Fruits and berries3,,,,,,,,
культури плодові,3200,х,х,16016.0,103.6,х,х,fruits ,,,,,,,,
культури ягідні,3480,х,х,1219.5,106.6,х,х,berries ,,,,,,,,
Виноград,3770,х,х,1624.0,89.3,х,х,Grapes,,,,,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,,,,
2 Обсяг виробництва наведено у початково оприбуткованій масі. / Volume of production exclude іn weight without the cleaning.,,,,,,,,,,,,,,,,
3 Обсяг виробництва наведено із загальної площі насаджень / Volume of production exclude from the total area plantations.,,,,,,,,,,,,,,,,
"Символ (х) – заповнення рубрики за характером побудови таблиці не має сенсу. /
Sumbol (х) – not applicable.",,,,,,,,,,,,,,,,
