"Динаміка обсягу виробництва культур зернобобових на 01 грудня 2021 року1
Dynamics of leguminous crops production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,7016.9,113.1,6030.5,113.5,986.4,110.5,Ukraine,
,Вінницька,225.2,111.5,155.7,116.9,69.5,101.2,Vinnytsya,
,Волинська,50.0,82.7,33.0,76.7,17.0,97.6,Volyn,
,Дніпропетровська,417.9,109.0,352.7,107.1,65.2,120.4,Dnipropetrovsk,
,Донецька,437.2,98.8,416.2,99.1,21.0,93.2,Donetsk,
,Житомирська,123.2,51.3,96.0,45.4,27.2,95.3,Zhytomyr,
,Закарпатська,21.4,69.3,к,к,к,к,Zakarpattya,
,Запорізька,1394.3,113.6,1335.1,114.4,59.2,99.0,Zaporizhzhya,
,Івано-Франківська,112.6,95.8,8.7,55.6,103.9,102.0,Ivano–Frankivsk,
,Київська,161.4,120.7,143.7,119.8,17.7,128.5,Kyiv,
,Кіровоградська,470.8,129.5,438.5,129.1,32.3,135.5,Kirovohrad,
,Луганська,68.6,111.1,64.0,112.4,4.6,95.6,Luhansk,
,Львівська,68.3,108.2,29.9,96.4,38.4,119.6,Lviv,
,Миколаївська,574.7,173.7,501.4,170.0,73.3,204.6,Mikolayiv,
,Одеська,489.4,185.6,449.1,195.6,40.3,118.1,Odesa,
,Полтавська,250.8,117.9,232.2,118.3,18.6,112.9,Poltava,
,Рівненська,23.3,61.7,6.3,30.1,17.0,100.7,Rivne ,
,Сумська,161.0,90.2,148.1,89.5,12.9,99.3,Sumy,
,Тернопільська,224.6,71.0,173.7,67.7,50.9,85.1,Ternopil,
,Харківська,603.8,105.4,497.9,104.3,105.9,110.6,Kharkiv,
,Херсонська,365.3,140.7,345.1,144.3,20.2,98.7,Kherson,
,Хмельницька,348.2,140.7,254.2,159.4,94.0,106.8,Khmelnytskiy,
,Черкаська,217.5,96.7,192.0,96.1,25.5,101.0,Cherkasy,
,Чернівецька,28.0,102.0,к,к,к,к,Chernivtsi,
,Чернігівська,179.4,87.1,154.9,82.4,24.5,136.1,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
