"Збір урожаю гороху на 01 грудня 2021 року1
Harvesting of peas as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,239.2,5819.3,24.3,221.1,5390.9,24.3,18.1,428.4,24.1,Ukraine,,
,Вінницька,5.0,172.1,34.0,4.2,150.5,35.1,0.8,21.6,27.7,Vinnytsya,,
,Волинська,0.7,29.0,38.3,0.7,28.5,38.8,0.0,0.5,22.0,Volyn,,
,Дніпропетровська,17.6,411.5,23.4,15.1,347.3,23.0,2.5,64.2,26.1,Dnipropetrovsk,,
,Донецька,22.4,413.5,18.4,21.4,398.2,18.6,1.0,15.3,15.9,Donetsk,,
,Житомирська,1.6,61.5,37.4,1.3,50.9,37.7,0.3,10.6,35.6,Zhytomyr,,
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya,,
,Запорізька,63.8,1350.3,21.1,61.2,1303.2,21.3,2.6,47.1,18.2,Zaporizhzhya,,
,Івано-Франківська,0.3,7.9,26.2,к,к,к,к,к,к,Ivano-Frankivsk,,
,Київська,4.2,136.5,32.4,3.9,128.1,32.4,0.3,8.4,33.5,Kyiv,,
,Кіровоградська,15.6,434.2,27.8,15.3,424.4,27.7,0.3,9.8,29.6,Kirovohrad,,
,Луганська,2.6,63.4,24.8,2.5,62.4,25.0,0.1,1.0,16.7,Luhansk,,
,Львівська,0.3,7.9,24.7,0.3,7.1,24.9,0.0,0.8,22.9,Lviv,,
,Миколаївська,21.9,567.1,25.8,19.5,496.3,25.4,2.4,70.8,29.4,Mikolayiv,,
,Одеська,20.1,448.9,22.5,18.4,416.5,22.7,1.7,32.4,19.5,Odesa,,
,Полтавська,7.1,212.7,29.8,6.8,204.9,30.0,0.3,7.8,26.3,Poltava,,
,Рівненська,0.2,5.2,29.7,0.2,5.2,29.7,–,–,–,Rivne ,,
,Сумська,3.6,114.8,32.1,3.4,111.2,32.5,0.2,3.6,23.3,Sumy,,
,Тернопільська,3.4,124.5,36.0,3.2,117.0,36.4,0.2,7.5,30.8,Ternopil,,
,Харківська,19.5,542.9,27.9,16.1,457.0,28.4,3.4,85.9,25.3,Kharkiv,,
,Херсонська,16.9,353.7,20.9,16.0,335.1,20.8,0.9,18.6,21.0,Kherson,,
,Хмельницька,2.5,79.4,32.5,2.2,72.8,33.2,0.3,6.6,26.3,Khmelnytskiy,,
,Черкаська,5.3,155.2,29.5,5.0,150.2,30.0,0.3,5.0,19.5,Cherkasy,,
,Чернівецька,0.2,3.9,22.9,к,к,к,к,к,к,Chernivtsi,,
,Чернігівська,4.4,123.2,27.7,4.4,123.2,27.7,–,–,–,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,233.2,4916.3,21.1,216.4,4558.2,21.0,16.8,358.1,21.1,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,
