"Динаміка обсягу виробництва гороху на 01 грудня 2021 року1
Dynamics of peas production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,5819.3,118.4,5390.9,118.3,428.4,119.7,Ukraine
,Вінницька,172.1,114.1,150.5,116.9,21.6,97.5,Vinnytsya
,Волинська,29.0,72.9,28.5,71.6,0.5,–,Volyn
,Дніпропетровська,411.5,108.2,347.3,106.2,64.2,120.4,Dnipropetrovsk
,Донецька,413.5,96.6,398.2,96.9,15.3,90.0,Donetsk
,Житомирська,61.5,119.3,50.9,125.2,10.6,97.5,Zhytomyr
,Закарпатська,–,–,–,–,–,–,Zakarpattya
,Запорізька,1350.3,112.3,1303.2,113.0,47.1,96.2,Zaporizhzhya
,Івано-Франківська,7.9,109.7,к,к,к,к,Ivano–Frankivsk
,Київська,136.5,113.1,128.1,114.7,8.4,93.5,Kyiv
,Кіровоградська,434.2,134.9,424.4,134.4,9.8,161.8,Kirovohrad
,Луганська,63.4,132.1,62.4,132.1,1.0,128.9,Luhansk
,Львівська,7.9,99.3,7.1,100.7,0.8,88.1,Lviv
,Миколаївська,567.1,176.3,496.3,172.4,70.8,210.2,Mikolayiv
,Одеська,448.9,195.1,416.5,205.9,32.4,116.5,Odesa
,Полтавська,212.7,119.0,204.9,118.2,7.8,145.2,Poltava
,Рівненська,5.2,58.0,5.2,58.0,–,–,Rivne 
,Сумська,114.8,98.1,111.2,97.6,3.6,115.0,Sumy
,Тернопільська,124.5,79.9,117.0,78.7,7.5,106.2,Ternopil
,Харківська,542.9,105.0,457.0,103.4,85.9,114.8,Kharkiv
,Херсонська,353.7,150.0,335.1,154.4,18.6,98.9,Kherson
,Хмельницька,79.4,75.7,72.8,73.3,6.6,117.6,Khmelnytskiy
,Черкаська,155.2,101.8,150.2,100.0,5.0,220.9,Cherkasy
,Чернівецька,3.9,57.4,к,к,к,к,Chernivtsi
,Чернігівська,123.2,95.4,123.2,95.4,–,–,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,
