"Збір урожаю сої на 01 грудня 2021 року1
Harvesting of soya beans as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,1271.5,34093.4,26.8,1088.1,30470.0,28.0,183.4,3623.4,19.8,Ukraine,,
,Вінницька,85.0,2478.0,29.1,73.1,2251.2,30.8,11.9,226.8,19.0,Vinnytsya,,
,Волинська,36.1,986.8,27.4,34.7,960.4,27.7,1.4,26.4,19.3,Volyn,,
,Дніпропетровська,5.8,96.3,16.6,5.3,88.9,16.8,0.5,7.4,13.9,Dnipropetrovsk,,
,Донецька,0.7,15.3,22.6,0.5,11.6,23.3,0.2,3.7,20.5,Donetsk,,
,Житомирська,107.9,2962.6,27.5,101.5,2844.0,28.0,6.4,118.6,18.4,Zhytomyr,,
,Закарпатська,10.9,252.6,23.1,10.9,252.6,23.1,–,–,–,Zakarpattya,,
,Запорізька,11.1,400.5,36.2,11.1,400.5,36.2,–,–,–,Zaporizhzhya,,
,Івано-Франківська,40.7,1180.0,29.0,40.1,1165.2,29.1,0.6,14.8,25.0,Ivano-Frankivsk,,
,Київська,91.5,2252.3,24.6,69.7,1881.7,27.0,21.8,370.6,17.0,Kyiv,,
,Кіровоградська,63.8,1443.8,22.6,30.9,789.3,25.5,32.9,654.5,19.9,Kirovohrad,,
,Луганська,0.1,0.7,8.9,0.1,0.7,8.9,–,–,–,Luhansk,,
,Львівська,85.0,2541.1,29.9,85.0,2541.1,29.9,–,–,–,Lviv,,
,Миколаївська,5.4,106.5,19.8,1.8,35.7,19.7,3.6,70.8,19.9,Mikolayiv,,
,Одеська,4.8,134.3,28.0,4.7,132.5,28.1,0.1,1.8,23.4,Odesa,,
,Полтавська,121.4,2440.3,20.1,95.0,2012.7,21.2,26.4,427.6,16.2,Poltava,,
,Рівненська,53.7,1348.4,25.1,52.1,1313.0,25.2,1.6,35.4,21.8,Rivne ,,
,Сумська,71.8,1473.2,20.5,69.7,1439.7,20.6,2.1,33.5,15.9,Sumy,,
,Тернопільська,73.1,2378.4,32.5,69.0,2305.3,33.4,4.1,73.1,17.9,Ternopil,,
,Харківська,23.3,401.4,17.3,21.5,376.6,17.6,1.8,24.8,13.8,Kharkiv,,
,Херсонська,75.6,2672.3,35.3,71.3,2521.3,35.3,4.3,151.0,35.2,Kherson,,
,Хмельницька,133.1,4095.2,30.8,120.1,3838.7,32.0,13.0,256.5,19.8,Khmelnytskiy,,
,Черкаська,78.4,1992.5,25.4,53.5,1511.9,28.3,24.9,480.6,19.3,Cherkasy,,
,Чернівецька,58.1,1557.4,26.8,32.4,913.9,28.2,25.7,643.5,25.0,Chernivtsi,,
,Чернігівська,34.2,883.5,25.8,34.1,881.5,25.9,0.1,2.0,15.7,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,1323.2,27709.3,20.9,1140.0,24851.2,21.8,183.2,2858.1,15.6,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
