"Динаміка обсягу виробництва сої на 01 грудня 2021 року1
Dynamics of soya beans production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,34093.4,123.5,30470.0,123.1,3623.4,126.8,Ukraine,
,Вінницька,2478.0,168.2,2251.2,173.7,226.8,127.8,Vinnytsya,
,Волинська,986.8,110.7,960.4,111.0,26.4,98.8,Volyn,
,Дніпропетровська,96.3,366.3,88.9,412.1,7.4,157.3,Dnipropetrovsk,
,Донецька,15.3,202.4,11.6,192.7,3.7,240.0,Donetsk,
,Житомирська,2962.6,125.7,2844.0,128.3,118.6,84.2,Zhytomyr,
,Закарпатська,252.6,55.0,252.6,55.0,–,–,Zakarpattya,
,Запорізька,400.5,121.2,400.5,121.2,–,–,Zaporizhzhya,
,Івано-Франківська,1180.0,118.3,1165.2,118.4,14.8,106.1,Ivano–Frankivsk,
,Київська,2252.3,170.3,1881.7,178.6,370.6,137.6,Kyiv,
,Кіровоградська,1443.8,203.3,789.3,242.4,654.5,170.2,Kirovohrad,
,Луганська,0.7,63.2,0.7,63.2,–,–,Luhansk,
,Львівська,2541.1,115.1,2541.1,115.1,–,–,Lviv,
,Миколаївська,106.5,157.9,35.7,123.8,70.8,183.3,Mikolayiv,
,Одеська,134.3,181.1,132.5,181.3,1.8,161.8,Odesa,
,Полтавська,2440.3,109.6,2012.7,110.5,427.6,105.7,Poltava,
,Рівненська,1348.4,77.7,1313.0,77.1,35.4,107.3,Rivne ,
,Сумська,1473.2,90.4,1439.7,90.5,33.5,87.4,Sumy,
,Тернопільська,2378.4,118.1,2305.3,118.3,73.1,109.9,Ternopil,
,Харківська,401.4,100.8,376.6,100.9,24.8,100.3,Kharkiv,
,Херсонська,2672.3,117.5,2521.3,118.1,151.0,107.8,Kherson,
,Хмельницька,4095.2,124.9,3838.7,125.2,256.5,120.1,Khmelnytskiy,
,Черкаська,1992.5,215.6,1511.9,256.9,480.6,143.1,Cherkasy,
,Чернівецька,1557.4,135.4,913.9,149.7,643.5,119.2,Chernivtsi,
,Чернігівська,883.5,83.7,881.5,83.8,2.0,69.1,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
