"Збір урожаю ріпаку озимого та кользи (ріпаку ярого) на 01 грудня 2021 року1
Harvesting of winter rapeseed and colza (spring rapeseed) as of 01 December 20211",,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",
Україна,,1004.0,29600.8,29.5,990.6,29285.8,29.6,13.4,315.0,23.8,Ukraine
,Вінницька,65.0,2179.8,33.5,64.2,2162.1,33.6,0.8,17.7,24.0,Vinnytsya
,Волинська,48.7,1573.1,32.4,48.7,1573.1,32.4,–,–,–,Volyn
,Дніпропетровська,83.6,1971.7,23.6,83.2,1966.2,23.6,0.4,5.5,14.4,Dnipropetrovsk
,Донецька,5.4,92.1,16.9,5.4,92.1,16.9,–,–,–,Donetsk
,Житомирська,40.1,1120.5,28.0,40.0,1117.6,28.0,0.1,2.9,29.5,Zhytomyr
,Закарпатська,к,к,к,к,к,к,–,–,–,Zakarpattya
,Запорізька,72.7,1796.3,24.7,72.2,1784.3,24.7,0.5,12.0,25.1,Zaporizhzhya
,Івано-Франківська,19.7,681.4,34.6,19.7,681.4,34.6,–,–,–,Ivano-Frankivsk
,Київська,33.1,1018.9,31.0,32.8,1011.5,31.0,0.3,7.4,30.7,Kyiv
,Кіровоградська,28.6,721.4,25.3,27.3,688.4,25.3,1.3,33.0,25.4,Kirovohrad
,Луганська,к,к,к,к,к,к,–,–,–,Luhansk
,Львівська,53.0,1769.1,33.4,53.0,1769.1,33.4,–,–,–,Lviv
,Миколаївська,60.5,1580.9,26.1,57.8,1526.6,26.4,2.7,54.3,20.3,Mikolayiv
,Одеська,118.9,3008.4,25.3,117.5,2973.1,25.3,1.4,35.3,25.6,Odesa
,Полтавська,11.6,361.2,31.2,11.4,356.8,31.3,0.2,4.4,24.1,Poltava
,Рівненська,29.4,864.0,29.3,29.4,864.0,29.3,–,–,–,Rivne 
,Сумська,22.1,711.3,32.2,22.1,711.3,32.2,–,–,–,Sumy
,Тернопільська,66.7,2558.7,38.3,66.7,2558.7,38.3,–,–,–,Ternopil
,Харківська,3.6,85.7,23.3,3.6,85.7,23.3,–,–,–,Kharkiv
,Херсонська,95.2,2471.9,26.0,90.6,2359.9,26.0,4.6,112.0,24.5,Kherson
,Хмельницька,83.0,3012.0,36.3,82.3,2990.9,36.3,0.7,21.1,27.9,Khmelnytskiy
,Черкаська,16.4,534.3,32.6,16.0,524.9,32.8,0.4,9.4,23.5,Cherkasy
,Чернівецька,11.4,320.8,28.2,11.4,320.8,28.2,–,–,–,Chernivtsi
,Чернігівська,34.3,1157.5,33.8,34.3,1157.5,33.8,–,–,–,Chernihiv
"на 01 грудня 2020 / 
as of 01 December 2020",,1104.9,25863.5,23.4,1091.1,25589.0,23.5,13.8,274.5,19.9,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,
