"Динаміка обсягу виробництва ріпаку озимого та кользи (ріпаку ярого) на 01 грудня 2021 року1
Dynamics of winter rapeseed and colza (spring rapeseed) production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,29600.8,114.4,29285.8,114.4,315.0,114.7,Ukraine
,Вінницька,2179.8,156.3,2162.1,157.0,17.7,101.1,Vinnytsya
,Волинська,1573.1,111.1,1573.1,111.3,–,–,Volyn
,Дніпропетровська,1971.7,65.0,1966.2,65.0,5.5,67.4,Dnipropetrovsk
,Донецька,92.1,9.9,92.1,9.9,–,–,Donetsk
,Житомирська,1120.5,101.3,1117.6,101.3,2.9,99.2,Zhytomyr
,Закарпатська,к,–,к,–,–,–,Zakarpattya
,Запорізька,1796.3,92.4,1784.3,92.5,12.0,74.9,Zaporizhzhya
,Івано-Франківська,681.4,109.3,681.4,109.3,–,–,Ivano–Frankivsk
,Київська,1018.9,151.0,1011.5,151.3,7.4,116.6,Kyiv
,Кіровоградська,721.4,68.8,688.4,67.5,33.0,112.8,Kirovohrad
,Луганська,к,к,к,к,–,–,Luhansk
,Львівська,1769.1,102.4,1769.1,102.4,–,–,Lviv
,Миколаївська,1580.9,120.3,1526.6,119.6,54.3,144.2,Mikolayiv
,Одеська,3008.4,241.9,2973.1,244.1,35.3,135.1,Odesa
,Полтавська,361.2,514.7,356.8,534.3,4.4,128.5,Poltava
,Рівненська,864.0,98.7,864.0,98.7,–,–,Rivne 
,Сумська,711.3,189.9,711.3,189.9,–,–,Sumy
,Тернопільська,2558.7,140.4,2558.7,140.4,–,–,Ternopil
,Харківська,85.7,25.8,85.7,25.8,–,–,Kharkiv
,Херсонська,2471.9,123.7,2359.9,124.4,112.0,111.8,Kherson
,Хмельницька,3012.0,143.5,2990.9,143.7,21.1,124.0,Khmelnytskiy
,Черкаська,534.3,157.2,524.9,158.1,9.4,117.9,Cherkasy
,Чернівецька,320.8,82.3,320.8,82.3,–,–,Chernivtsi
,Чернігівська,1157.5,135.3,1157.5,135.3,–,–,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,
