"Збір урожаю ріпаку озимого на 01 грудня 2021 року1
Harvesting of winter rapeseed as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,971.8,28843.0,29.7,959.0,28542.5,29.8,12.8,300.5,23.9,Ukraine,,
,Вінницька,62.8,2114.3,33.6,62.3,2101.8,33.7,0.5,12.5,26.0,Vinnytsya,,
,Волинська,46.7,1536.6,33.0,46.7,1536.6,33.0,–,–,–,Volyn,,
,Дніпропетровська,76.4,1843.8,24.1,76.0,1838.3,24.2,0.4,5.5,14.4,Dnipropetrovsk,,
,Донецька,к,к,к,к,к,к,–,–,–,Donetsk,,
,Житомирська,37.5,1051.4,28.1,37.4,1048.5,28.1,0.1,2.9,29.5,Zhytomyr,,
,Закарпатська,к,к,к,к,к,к,–,–,–,Zakarpattya,,
,Запорізька,71.3,1755.6,24.6,70.8,1743.6,24.6,0.5,12.0,25.1,Zaporizhzhya,,
,Івано-Франківська,к,к,к,к,к,к,–,–,–,Ivano-Frankivsk,,
,Київська,31.4,974.5,31.1,31.2,968.6,31.1,0.2,5.9,31.0,Kyiv,,
,Кіровоградська,к,к,к,к,к,к,1.3,32.1,25.5,Kirovohrad,,
,Луганська,0.8,8.7,10.6,0.8,8.7,10.6,–,–,–,Luhansk,,
,Львівська,51.4,1700.7,33.1,51.4,1700.7,33.1,–,–,–,Lviv,,
,Миколаївська,59.1,1557.0,26.4,56.4,1502.7,26.6,2.7,54.3,20.3,Mikolayiv,,
,Одеська,116.8,2961.9,25.3,115.4,2926.6,25.3,1.4,35.3,25.6,Odesa,,
,Полтавська,10.7,341.0,31.9,10.5,337.1,32.0,0.2,3.9,25.1,Poltava,,
,Рівненська,к,к,к,к,к,к,–,–,–,Rivne ,,
,Сумська,к,к,к,к,к,к,–,–,–,Sumy,,
,Тернопільська,66.1,2538.8,38.4,66.1,2538.8,38.4,–,–,–,Ternopil,,
,Харківська,3.6,84.8,23.3,3.6,84.8,23.3,–,–,–,Kharkiv,,
,Херсонська,94.6,2461.6,26.0,90.0,2349.6,26.1,4.6,112.0,24.5,Kherson,,
,Хмельницька,81.7,2970.9,36.4,81.1,2953.6,36.4,0.6,17.3,28.2,Khmelnytskiy,,
,Черкаська,15.2,501.1,32.8,14.9,494.3,33.0,0.3,6.8,24.1,Cherkasy,,
,Чернівецька,к,к,к,к,к,к,–,–,–,Chernivtsi,,
,Чернігівська,33.0,1133.7,34.4,33.0,1133.7,34.4,–,–,–,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,1077.8,25274.6,23.4,1064.7,25013.8,23.5,13.1,260.8,19.9,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,
