"Динаміка обсягу виробництва ріпаку озимого на 01 грудня 2021 року1
Dynamics of winter rapeseed production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,28843.0,114.1,28542.5,114.1,300.5,115.2,Ukraine,
,Вінницька,2114.3,156.2,2101.8,156.7,12.5,101.8,Vinnytsya,
,Волинська,1536.6,109.7,1536.6,109.7,–,–,Volyn,
,Дніпропетровська,1843.8,62.0,1838.3,62.0,5.5,67.4,Dnipropetrovsk,
,Донецька,к,к,к,к,–,–,Donetsk,
,Житомирська,1051.4,101.1,1048.5,101.1,2.9,99.2,Zhytomyr,
,Закарпатська,к,–,к,–,–,–,Zakarpattya,
,Запорізька,1755.6,91.0,1743.6,91.2,12.0,74.9,Zaporizhzhya,
,Івано-Франківська,к,к,к,к,–,–,Ivano–Frankivsk,
,Київська,974.5,156.7,968.6,157.2,5.9,108.2,Kyiv,
,Кіровоградська,к,к,к,к,32.1,109.7,Kirovohrad,
,Луганська,8.7,3.5,8.7,3.5,–,–,Luhansk,
,Львівська,1700.7,101.4,1700.7,101.4,–,–,Lviv,
,Миколаївська,1557.0,121.8,1502.7,121.2,54.3,144.2,Mikolayiv,
,Одеська,2961.9,239.2,2926.6,241.4,35.3,135.1,Odesa,
,Полтавська,341.0,648.5,337.1,678.6,3.9,133.8,Poltava,
,Рівненська,к,к,к,к,–,–,Rivne ,
,Сумська,к,к,к,к,–,–,Sumy,
,Тернопільська,2538.8,142.6,2538.8,142.6,–,–,Ternopil,
,Харківська,84.8,25.8,84.8,25.8,–,–,Kharkiv,
,Херсонська,2461.6,124.5,2349.6,125.1,112.0,111.8,Kherson,
,Хмельницька,2970.9,143.9,2953.6,144.0,17.3,124.8,Khmelnytskiy,
,Черкаська,501.1,175.2,494.3,176.6,6.8,111.4,Cherkasy,
,Чернівецька,к,к,к,к,–,–,Chernivtsi,
,Чернігівська,1133.7,135.9,1133.7,135.9,–,–,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
