"Збір урожаю кользи (ріпаку ярого) на 01 грудня 2021 року1
Harvesting of colza (spring rapeseed) as of 01 December 20211",,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",
Україна,,32.2,757.8,23.6,31.6,743.3,23.6,0.6,14.5,22.6,Ukraine
,Вінницька,2.2,65.5,30.3,1.9,60.3,31.6,0.3,5.2,20.2,Vinnytsya
,Волинська,2.0,36.5,18.7,2.0,36.5,18.7,–,–,–,Volyn
,Дніпропетровська,7.2,127.9,17.9,7.2,127.9,17.9,–,–,–,Dnipropetrovsk
,Донецька,к,к,к,к,к,к,–,–,–,Donetsk
,Житомирська,2.6,69.1,26.3,2.6,69.1,26.3,–,–,–,Zhytomyr
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya
,Запорізька,1.4,40.7,30.2,1.4,40.7,30.2,–,–,–,Zaporizhzhya
,Івано-Франківська,к,к,к,к,к,к,–,–,–,Ivano-Frankivsk
,Київська,1.7,44.4,28.0,1.6,42.9,28.0,0.1,1.5,29.7,Kyiv
,Кіровоградська,1.0,22.6,22.1,1.0,21.7,22.2,0.0,0.9,20.9,Kirovohrad
,Луганська,к,к,к,к,к,к,–,–,–,Luhansk
,Львівська,1.6,68.4,44.3,1.6,68.4,44.3,–,–,–,Lviv
,Миколаївська,1.4,23.9,16.4,1.4,23.9,16.4,–,–,–,Mikolayiv
,Одеська,2.1,46.5,22.4,2.1,46.5,22.4,–,–,–,Odesa
,Полтавська,0.9,20.2,22.8,0.9,19.7,22.9,0.0,0.5,17.9,Poltava
,Рівненська,к,к,к,к,к,к,–,–,–,Rivne 
,Сумська,к,к,к,к,к,к,–,–,–,Sumy
,Тернопільська,0.6,19.9,31.5,0.6,19.9,31.5,–,–,–,Ternopil
,Харківська,0.0,0.9,22.9,0.0,0.9,22.9,–,–,–,Kharkiv
,Херсонська,0.6,10.3,16.2,0.6,10.3,16.2,–,–,–,Kherson
,Хмельницька,1.3,41.1,30.9,1.2,37.3,31.5,0.1,3.8,26.4,Khmelnytskiy
,Черкаська,1.2,33.2,28.6,1.1,30.6,29.4,0.1,2.6,22.0,Cherkasy
,Чернівецька,к,к,к,к,к,к,–,–,–,Chernivtsi
,Чернігівська,1.3,23.8,18.2,1.3,23.8,18.2,–,–,–,Chernihiv
"на 01 грудня 2020 / 
as of 01 December 2020",,27.1,588.9,21.9,26.4,575.2,21.9,0.7,13.7,20.5,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,
