"Збір урожаю культур зернових і зернобобових на 01 грудня 2021 року1
Harvesting of cereal and leguminous crops as of 01 December 20211",,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",
Україна,,15380.3,845703.6,55.0,11177.1,678736.0,60.7,4203.2,166967.6,39.7,Ukraine
,Вінницька,865.3,65956.5,76.2,686.8,56327.7,82.0,178.5,9628.8,53.9,Vinnytsya
,Волинська,316.8,15232.4,48.1,157.9,10675.6,67.6,158.9,4556.8,28.7,Volyn
,Дніпропетровська,1139.2,49130.4,43.1,701.8,33667.1,48.0,437.4,15463.3,35.3,Dnipropetrovsk
,Донецька,599.7,22540.9,37.6,428.1,16446.7,38.4,171.6,6094.2,35.5,Donetsk
,Житомирська,529.7,34862.2,65.8,426.9,31076.3,72.8,102.8,3785.9,36.9,Zhytomyr
,Закарпатська,74.2,3238.9,43.6,11.4,880.7,77.2,62.8,2358.2,37.5,Zakarpattya
,Запорізька,1011.0,38469.1,38.0,723.4,28311.2,39.1,287.6,10157.9,35.3,Zaporizhzhya
,Івано-Франківська,150.7,9462.6,62.9,82.8,6412.9,77.5,67.9,3049.7,45.1,Ivano-Frankivsk
,Київська,632.0,45431.9,71.9,532.4,41400.7,77.8,99.6,4031.2,40.5,Kyiv
,Кіровоградська,866.9,48133.7,55.5,645.8,38098.0,59.0,221.1,10035.7,45.4,Kirovohrad
,Луганська,362.1,13098.6,36.2,278.1,10480.1,37.7,84.0,2618.5,31.1,Luhansk
,Львівська,297.0,17139.2,57.7,178.4,12268.4,68.8,118.6,4870.8,41.1,Lviv
,Миколаївська,940.4,38701.0,41.1,636.2,28335.1,44.5,304.2,10365.9,34.1,Mikolayiv
,Одеська,1228.1,52452.0,42.7,848.5,38008.3,44.8,379.6,14443.7,38.0,Odesa
,Полтавська,965.9,56837.0,58.8,749.4,46624.6,62.2,216.5,10212.4,47.2,Poltava
,Рівненська,296.3,16396.0,55.3,167.1,11627.7,69.6,129.2,4768.3,36.9,Rivne 
,Сумська,666.4,41064.7,61.6,587.1,37964.3,64.7,79.3,3100.4,39.0,Sumy
,Тернопільська,456.0,31404.8,68.9,309.7,25203.4,81.4,146.3,6201.4,42.4,Ternopil
,Харківська,1052.5,49768.4,47.3,763.7,38164.4,50.0,288.8,11604.0,40.2,Kharkiv
,Херсонська,808.9,35995.4,44.5,511.1,24189.2,47.3,297.8,11806.2,39.6,Kherson
,Хмельницька,592.2,47774.2,80.7,488.8,43071.3,88.2,103.4,4702.9,45.4,Khmelnytskiy
,Черкаська,660.7,48151.6,72.9,529.4,41601.9,78.6,131.3,6549.7,49.9,Cherkasy
,Чернівецька,116.4,7128.0,61.2,42.1,2834.8,67.1,74.3,4293.2,57.8,Chernivtsi
,Чернігівська,751.9,57334.1,76.2,690.2,55065.6,79.8,61.7,2268.5,36.6,Chernihiv
"на 01 грудня 2020 / 
as of 01 December 2020",,14759.1,633445.4,42.9,10619.8,498761.6,47.0,4139.3,134683.8,32.5,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,
