"Динаміка обсягу виробництва кользи (ріпаку ярого) на 01 грудня 2021 року1
Dynamics of colza (spring rapeseed) production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,757.8,128.6,743.3,129.2,14.5,105.2,Ukraine
,Вінницька,65.5,159.5,60.3,168.2,5.2,99.5,Vinnytsya
,Волинська,36.5,234.6,36.5,272.1,–,–,Volyn
,Дніпропетровська,127.9,211.2,127.9,211.2,–,–,Dnipropetrovsk
,Донецька,к,к,к,к,–,–,Donetsk
,Житомирська,69.1,103.8,69.1,103.8,–,–,Zhytomyr
,Закарпатська,–,–,–,–,–,–,Zakarpattya
,Запорізька,40.7,255.1,40.7,255.1,–,–,Zaporizhzhya
,Івано-Франківська,к,к,к,к,–,–,Ivano–Frankivsk
,Київська,44.4,83.6,42.9,82.1,1.5,168.8,Kyiv
,Кіровоградська,22.6,203.5,21.7,195.2,0.9,–,Kirovohrad
,Луганська,к,–,к,–,–,–,Luhansk
,Львівська,68.4,137.2,68.4,137.2,–,–,Lviv
,Миколаївська,23.9,66.5,23.9,66.5,–,–,Mikolayiv
,Одеська,46.5,825.0,46.5,825.0,–,–,Odesa
,Полтавська,20.2,115.0,19.7,115.6,0.5,96.9,Poltava
,Рівненська,к,к,к,к,–,–,Rivne 
,Сумська,к,к,к,к,–,–,Sumy
,Тернопільська,19.9,48.2,19.9,48.2,–,–,Ternopil
,Харківська,0.9,24.0,0.9,24.0,–,–,Kharkiv
,Херсонська,10.3,51.7,10.3,51.7,–,–,Kherson
,Хмельницька,41.1,121.9,37.3,122.1,3.8,120.4,Khmelnytskiy
,Черкаська,33.2,61.6,30.6,58.7,2.6,138.9,Cherkasy
,Чернівецька,к,–,к,–,–,–,Chernivtsi
,Чернігівська,23.8,111.4,23.8,111.4,–,–,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,
