"Збір урожаю соняшнику на 01 грудня 2021 року1
Harvesting of sunflower seeds as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,6523.9,164398.4,25.2,5418.8,142289.8,26.3,1105.1,22108.6,20.0,Ukraine,,
,Вінницька,313.5,10376.3,33.1,299.5,10010.8,33.4,14.0,365.5,26.1,Vinnytsya,,
,Волинська,36.0,1009.2,28.0,36.0,1008.7,28.0,0.0,0.5,17.6,Volyn,,
,Дніпропетровська,599.7,14032.6,23.4,498.8,12035.0,24.1,100.9,1997.6,19.8,Dnipropetrovsk,,
,Донецька,360.3,7985.6,22.2,289.5,6550.1,22.6,70.8,1435.5,20.3,Donetsk,,
,Житомирська,147.1,3629.3,24.7,133.9,3293.3,24.6,13.2,336.0,25.5,Zhytomyr,,
,Закарпатська,2.8,55.1,19.8,2.4,46.8,19.7,0.4,8.3,20.1,Zakarpattya,,
,Запорізька,532.5,10583.8,19.9,394.5,8348.3,21.2,138.0,2235.5,16.2,Zaporizhzhya,,
,Івано-Франківська,31.8,921.5,29.0,31.7,918.1,29.0,0.1,3.4,25.4,Ivano-Frankivsk,,
,Київська,200.9,6279.3,31.2,198.1,6218.0,31.4,2.8,61.3,22.1,Kyiv,,
,Кіровоградська,594.6,15903.9,26.7,433.6,12007.4,27.7,161.0,3896.5,24.2,Kirovohrad,,
,Луганська,400.2,7581.4,18.9,326.4,6295.3,19.3,73.8,1286.1,17.4,Luhansk,,
,Львівська,39.0,1003.7,25.7,39.0,1003.7,25.7,–,–,–,Lviv,,
,Миколаївська,495.1,11237.5,22.7,333.2,7892.3,23.7,161.9,3345.2,20.7,Mikolayiv,,
,Одеська,404.8,9522.0,23.5,324.4,8014.8,24.7,80.4,1507.2,18.7,Odesa,,
,Полтавська,384.4,9766.9,25.4,330.0,8689.0,26.3,54.4,1077.9,19.8,Poltava,,
,Рівненська,38.9,1002.6,25.8,38.9,1002.6,25.8,–,–,–,Rivne ,,
,Сумська,265.6,8211.4,30.9,257.0,8008.2,31.2,8.6,203.2,23.8,Sumy,,
,Тернопільська,80.2,2751.8,34.3,80.2,2751.8,34.3,–,–,–,Ternopil,,
,Харківська,573.3,14300.9,24.9,503.1,12932.0,25.7,70.2,1368.9,19.5,Kharkiv,,
,Херсонська,345.0,6730.0,19.5,213.4,4334.6,20.3,131.6,2395.4,18.2,Kherson,,
,Хмельницька,161.3,5180.4,32.1,160.4,5162.9,32.2,0.9,17.5,19.8,Khmelnytskiy,,
,Черкаська,254.6,8272.3,32.5,236.9,7830.8,33.1,17.7,441.5,25.0,Cherkasy,,
,Чернівецька,21.9,641.6,29.2,17.7,520.9,29.3,4.2,120.7,28.5,Chernivtsi,,
,Чернігівська,240.4,7419.3,30.9,240.2,7414.4,30.9,0.2,4.9,21.5,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,6381.3,131358.0,20.6,5287.7,115008.8,21.8,1093.6,16349.2,15.0,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,
