"Динаміка обсягу виробництва соняшнику на 01 грудня 2021 року1
Dynamics of sunflower seeds production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,164398.4,125.1,142289.8,123.6,22108.6,135.3,Ukraine
,Вінницька,10376.3,132.2,10010.8,131.6,365.5,149.7,Vinnytsya
,Волинська,1009.2,98.4,1008.7,98.4,0.5,151.7,Volyn
,Дніпропетровська,14032.6,139.0,12035.0,135.0,1997.6,169.8,Dnipropetrovsk
,Донецька,7985.6,136.7,6550.1,139.6,1435.5,125.1,Donetsk
,Житомирська,3629.3,109.7,3293.3,112.4,336.0,88.6,Zhytomyr
,Закарпатська,55.1,91.1,46.8,93.6,8.3,79.3,Zakarpattya
,Запорізька,10583.8,125.2,8348.3,132.5,2235.5,103.8,Zaporizhzhya
,Івано-Франківська,921.5,138.6,918.1,138.8,3.4,98.5,Ivano–Frankivsk
,Київська,6279.3,141.4,6218.0,141.5,61.3,136.0,Kyiv
,Кіровоградська,15903.9,153.9,12007.4,151.2,3896.5,163.0,Kirovohrad
,Луганська,7581.4,112.0,6295.3,111.4,1286.1,115.1,Luhansk
,Львівська,1003.7,122.5,1003.7,122.5,–,–,Lviv
,Миколаївська,11237.5,161.9,7892.3,155.1,3345.2,180.8,Mikolayiv
,Одеська,9522.0,201.2,8014.8,207.0,1507.2,175.2,Odesa
,Полтавська,9766.9,98.6,8689.0,99.3,1077.9,93.8,Poltava
,Рівненська,1002.6,100.9,1002.6,100.9,–,–,Rivne 
,Сумська,8211.4,91.3,8008.2,91.2,203.2,94.3,Sumy
,Тернопільська,2751.8,96.7,2751.8,96.7,–,–,Ternopil
,Харківська,14300.9,105.4,12932.0,104.6,1368.9,114.3,Kharkiv
,Херсонська,6730.0,126.1,4334.6,128.3,2395.4,122.4,Kherson
,Хмельницька,5180.4,92.5,5162.9,92.4,17.5,139.4,Khmelnytskiy
,Черкаська,8272.3,154.9,7830.8,155.4,441.5,145.8,Cherkasy
,Чернівецька,641.6,122.5,520.9,126.4,120.7,108.0,Chernivtsi
,Чернігівська,7419.3,106.0,7414.4,106.1,4.9,49.6,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,
