"Збір урожаю буряку цукрового фабричного на 01 грудня 2021 року1
Harvesting of sugar beet (for processing) as of 01 December 20211",,,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,,
Україна,,212.6,98346.2,462.6,198.8,93356.7,469.5,13.8,4989.5,362.4,Ukraine,,,
,Вінницька,46.2,21066.8,456.3,41.1,19105.9,464.8,5.1,1960.9,387.9,Vinnytsya,,,
,Волинська,8.0,3607.0,450.3,4.6,2417.0,524.3,3.4,1190.0,350.0,Volyn,,,
,Дніпропетровська,0.6,316.9,511.2,0.6,316.9,511.2,–,–,–,Dnipropetrovsk,,,
,Донецька,0.4,95.4,256.5,–,–,–,0.4,95.4,256.5,Donetsk,,,
,Житомирська,10.8,4822.3,444.9,10.5,4701.4,446.5,0.3,120.9,390.0,Zhytomyr,,,
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya,,,
,Запорізька,–,–,–,–,–,–,–,–,–,Zaporizhzhya,,,
,Івано-Франківська,0.4,226.5,553.7,0.3,201.7,613.0,0.1,24.8,310.0,Ivano-Frankivsk,,,
,Київська,21.4,9261.7,432.7,20.8,9087.4,436.5,0.6,174.3,298.0,Kyiv,,,
,Кіровоградська,10.4,4768.8,460.3,10.4,4768.8,460.3,–,–,–,Kirovohrad,,,
,Луганська,–,–,–,–,–,–,–,–,–,Luhansk,,,
,Львівська,12.2,6417.0,524.5,12.2,6417.0,524.5,–,–,–,Lviv,,,
,Миколаївська,–,–,–,–,–,–,–,–,–,Mikolayiv,,,
,Одеська,–,–,–,–,–,–,–,–,–,Odesa,,,
,Полтавська,25.9,10431.4,402.9,24.5,9894.2,403.9,1.4,537.2,384.7,Poltava,,,
,Рівненська,12.7,6569.8,518.3,12.0,6281.4,524.5,0.7,288.4,412.0,Rivne ,,,
,Сумська,к,к,к,к,к,к,–,–,–,Sumy,,,
,Тернопільська,14.5,7609.8,525.0,14.0,7442.5,532.9,0.5,167.3,316.2,Ternopil,,,
,Харківська,4.3,1783.7,407.0,3.9,1670.3,423.7,0.4,113.4,257.5,Kharkiv,,,
,Херсонська,–,–,–,–,–,–,–,–,–,Kherson,,,
,Хмельницька,29.0,14428.5,497.3,28.3,14162.4,501.0,0.7,266.1,356.8,Khmelnytskiy,,,
,Черкаська,8.4,3901.5,465.1,8.4,3901.5,465.1,–,–,–,Cherkasy,,,
,Чернівецька,к,к,к,к,к,к,–,–,–,Chernivtsi,,,
,Чернігівська,5.6,2281.1,411.6,5.4,2230.3,413.9,0.2,50.8,330.2,Chernihiv,,,
"на 01 грудня 2020 / 
as of 01 December 2020",,201.6,82565.2,409.5,186.7,77334.7,414.2,14.9,5230.5,350.5,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,,
