"Динаміка обсягу виробництва буряку цукрового фабричного на 01 грудня 2021 року1
Dynamics of sugar beet (for processing) production as of 01 December 20211",,,,,,,,
(тис.ц / thsd. centner),,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",
Україна,,98346.2,119.1,93356.7,120.7,4989.5,95.4,Ukraine
,Вінницька,21066.8,127.5,19105.9,131.5,1960.9,98.5,Vinnytsya
,Волинська,3607.0,109.3,2417.0,110.9,1190.0,106.2,Volyn
,Дніпропетровська,316.9,128.0,316.9,128.0,–,–,Dnipropetrovsk
,Донецька,95.4,86.7,–,–,95.4,86.7,Donetsk
,Житомирська,4822.3,108.9,4701.4,111.8,120.9,54.3,Zhytomyr
,Закарпатська,–,–,–,–,–,–,Zakarpattya
,Запорізька,–,–,–,–,–,–,Zaporizhzhya
,Івано-Франківська,226.5,87.0,201.7,86.6,24.8,90.3,Ivano–Frankivsk
,Київська,9261.7,117.9,9087.4,118.0,174.3,109.9,Kyiv
,Кіровоградська,4768.8,136.8,4768.8,136.8,–,–,Kirovohrad
,Луганська,–,–,–,–,–,–,Luhansk
,Львівська,6417.0,107.2,6417.0,107.2,–,–,Lviv
,Миколаївська,–,–,–,–,–,–,Mikolayiv
,Одеська,–,–,–,–,–,–,Odesa
,Полтавська,10431.4,99.7,9894.2,99.8,537.2,98.3,Poltava
,Рівненська,6569.8,107.6,6281.4,109.4,288.4,79.0,Rivne 
,Сумська,к,к,к,к,–,–,Sumy
,Тернопільська,7609.8,104.3,7442.5,104.2,167.3,106.4,Ternopil
,Харківська,1783.7,113.2,1670.3,115.2,113.4,90.6,Kharkiv
,Херсонська,–,–,–,–,–,–,Kherson
,Хмельницька,14428.5,157.9,14162.4,159.3,266.1,107.6,Khmelnytskiy
,Черкаська,3901.5,132.3,3901.5,132.3,–,–,Cherkasy
,Чернівецька,к,к,к,к,–,–,Chernivtsi
,Чернігівська,2281.1,113.9,2230.3,115.0,50.8,79.3,Chernihiv
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,
