"Збір урожаю картоплі на 01 грудня 2021 року1
Harvesting of potatoes as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,1280.4,212995.1,166.3,16.5,4306.9,255.8,1263.9,208688.2,165.1,Ukraine,,
,Вінницька,101.9,15948.8,156.6,0.2,25.7,153.7,101.7,15923.1,156.6,Vinnytsya,,
,Волинська,81.1,12095.1,149.2,0.4,82.4,209.7,80.7,12012.7,148.9,Volyn,,
,Дніпропетровська,53.7,7059.8,131.6,2.1,584.3,289.0,51.6,6475.5,125.4,Dnipropetrovsk,,
,Донецька,35.2,4613.7,131.0,0.1,20.3,140.3,35.1,4593.4,131.0,Donetsk,,
,Житомирська,98.6,18782.3,190.5,2.2,468.4,213.2,96.4,18313.9,190.0,Zhytomyr,,
,Закарпатська,29.3,4822.8,164.8,к,к,к,к,к,к,Zakarpattya,,
,Запорізька,17.5,2220.2,126.3,0.0,4.5,113.0,17.5,2215.7,126.3,Zaporizhzhya,,
,Івано-Франківська,59.9,10239.8,171.0,0.1,20.8,170.8,59.8,10219.0,171.0,Ivano-Frankivsk,,
,Київська,82.0,15095.0,184.1,1.4,386.6,275.7,80.6,14708.4,182.5,Kyiv,,
,Кіровоградська,39.4,5319.7,135.1,0.0,2.1,117.6,39.4,5317.6,135.1,Kirovohrad,,
,Луганська,10.2,2013.7,198.3,к,к,к,к,к,к,Luhansk,,
,Львівська,95.4,16796.4,176.0,2.2,772.0,339.0,93.2,16024.4,172.0,Lviv,,
,Миколаївська,20.2,3106.0,153.8,0.2,41.2,200.0,20.0,3064.8,153.3,Mikolayiv,,
,Одеська,26.3,3309.7,125.5,0.1,28.7,193.6,26.2,3281.0,125.2,Odesa,,
,Полтавська,54.1,10818.1,199.8,0.6,100.1,152.6,53.5,10718.0,200.4,Poltava,,
,Рівненська,73.3,12973.5,177.0,0.2,39.2,197.0,73.1,12934.3,176.9,Rivne ,,
,Сумська,54.1,7960.7,146.9,0.4,62.5,139.8,53.7,7898.2,147.0,Sumy,,
,Тернопільська,54.3,10441.0,192.4,0.8,280.0,352.5,53.5,10161.0,190.0,Ternopil,,
,Харківська,55.2,6625.2,120.1,0.1,6.2,88.8,55.1,6619.0,120.1,Kharkiv,,
,Херсонська,22.2,4264.7,191.4,1.1,276.7,236.4,21.1,3988.0,188.9,Kherson,,
,Хмельницька,61.1,11693.2,191.2,0.2,40.8,196.6,60.9,11652.4,191.2,Khmelnytskiy,,
,Черкаська,50.8,9052.6,178.4,0.6,248.2,429.0,50.2,8804.4,175.5,Cherkasy,,
,Чернівецька,34.9,6363.9,181.9,0.0,12.1,134.2,34.9,6351.8,182.0,Chernivtsi,,
,Чернігівська,69.7,11379.2,163.2,3.5,802.4,230.7,66.2,10576.8,159.7,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,1325.4,208586.8,157.4,17.4,3902.1,224.8,1308.0,204684.7,156.5,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,
