"Динаміка обсягу виробництва картоплі на 01 грудня 2021 року1
Dynamics of potatoes production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,212995.1,102.1,4306.9,110.4,208688.2,102.0,Ukraine,
,Вінницька,15948.8,83.6,25.7,108.7,15923.1,83.6,Vinnytsya,
,Волинська,12095.1,100.7,82.4,173.7,12012.7,100.4,Volyn,
,Дніпропетровська,7059.8,151.9,584.3,141.1,6475.5,153.0,Dnipropetrovsk,
,Донецька,4613.7,110.1,20.3,62.4,4593.4,110.5,Donetsk,
,Житомирська,18782.3,106.1,468.4,114.4,18313.9,105.9,Zhytomyr,
,Закарпатська,4822.8,101.0,к,к,к,к,Zakarpattya,
,Запорізька,2220.2,124.9,4.5,348.0,2215.7,124.8,Zaporizhzhya,
,Івано-Франківська,10239.8,102.5,20.8,105.6,10219.0,102.5,Ivano–Frankivsk,
,Київська,15095.0,97.4,386.6,124.7,14708.4,96.9,Kyiv,
,Кіровоградська,5319.7,103.2,2.1,191.5,5317.6,103.2,Kirovohrad,
,Луганська,2013.7,83.1,к,–,к,к,Luhansk,
,Львівська,16796.4,104.8,772.0,152.0,16024.4,103.3,Lviv,
,Миколаївська,3106.0,150.4,41.2,156.2,3064.8,150.3,Mikolayiv,
,Одеська,3309.7,91.5,28.7,141.6,3281.0,91.2,Odesa,
,Полтавська,10818.1,107.7,100.1,103.7,10718.0,107.8,Poltava,
,Рівненська,12973.5,100.9,39.2,233.2,12934.3,100.7,Rivne ,
,Сумська,7960.7,88.3,62.5,108.4,7898.2,88.2,Sumy,
,Тернопільська,10441.0,114.3,280.0,85.5,10161.0,115.3,Ternopil,
,Харківська,6625.2,93.0,6.2,131.6,6619.0,92.9,Kharkiv,
,Херсонська,4264.7,151.7,276.7,112.0,3988.0,155.5,Kherson,
,Хмельницька,11693.2,91.4,40.8,121.8,11652.4,91.3,Khmelnytskiy,
,Черкаська,9052.6,124.3,248.2,95.2,8804.4,125.3,Cherkasy,
,Чернівецька,6363.9,106.6,12.1,189.5,6351.8,106.5,Chernivtsi,
,Чернігівська,11379.2,90.4,802.4,77.4,10576.8,91.6,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
