"Динаміка обсягу виробництва культур овочевих на 01 грудня 2021 року1
Dynamics of vegetables production as of 01 December 20211",,,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,,
Україна,,98858.8,102.7,13690.2,92.9,85168.6,104.5,Ukraine,,
,Вінницька,5025.0,117.1,47.6,82.2,4977.4,117.6,Vinnytsya,,
,Волинська,2800.5,100.3,186.1,102.6,2614.4,100.2,Volyn,,
,Дніпропетровська,7758.2,114.3,926.4,85.4,6831.8,119.8,Dnipropetrovsk,,
,Донецька,2825.1,117.4,89.4,81.3,2735.7,119.1,Donetsk,,
,Житомирська,3748.2,92.5,78.4,75.3,3669.8,93.0,Zhytomyr,,
,Закарпатська,2599.2,92.6,к,к,к,к,Zakarpattya,,
,Запорізька,2571.1,101.4,168.3,86.1,2402.8,102.7,Zaporizhzhya,,
,Івано-Франківська,1905.2,103.6,39.4,119.1,1865.8,103.3,Ivano–Frankivsk,,
,Київська,6921.8,122.7,486.8,94.7,6435.0,125.5,Kyiv,,
,Кіровоградська,2595.0,101.4,50.1,74.8,2544.9,102.1,Kirovohrad,,
,Луганська,1606.1,108.3,к,к,к,к,Luhansk,,
,Львівська,8455.4,105.6,452.3,156.0,8003.1,103.7,Lviv,,
,Миколаївська,6242.1,110.1,4152.6,107.8,2089.5,115.1,Mikolayiv,,
,Одеська,2348.8,99.2,363.9,85.7,1984.9,102.2,Odesa,,
,Полтавська,5676.1,100.8,42.6,90.6,5633.5,100.9,Poltava,,
,Рівненська,2733.6,99.1,97.5,89.4,2636.1,99.5,Rivne ,,
,Сумська,2089.4,101.9,20.6,112.2,2068.8,101.8,Sumy,,
,Тернопільська,2707.3,101.5,141.9,156.1,2565.4,99.6,Ternopil,,
,Харківська,5557.7,98.1,231.3,85.2,5326.4,98.8,Kharkiv,,
,Херсонська,12208.3,90.4,5004.6,81.9,7203.7,97.4,Kherson,,
,Хмельницька,2235.5,99.1,85.3,73.7,2150.2,100.5,Khmelnytskiy,,
,Черкаська,3793.2,101.5,991.5,98.8,2801.7,102.5,Cherkasy,,
,Чернівецька,2541.0,101.1,к,к,к,к,Chernivtsi,,
,Чернігівська,1915.0,87.1,12.5,37.2,1902.5,87.9,Chernihiv,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,
