"Збір урожаю культур овочевих відкритого ґрунту на 01 грудня 2021 року1
Harvesting of vegetables grown in the open production as of 01 December 20211",,,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,,
Україна,,454.7,94165.4,207.1,32.8,12910.5,393.1,421.9,81254.9,192.6,Ukraine,,,
,Вінницька,22.7,4942.1,219.0,0.3,28.9,135.1,22.4,4913.2,219.8,Vinnytsya,,,
,Волинська,12.8,2783.7,217.3,0.8,185.8,222.2,12.0,2597.9,217.0,Volyn,,,
,Дніпропетровська,36.4,7224.8,198.1,2.0,786.9,381.3,34.4,6437.9,187.1,Dnipropetrovsk,,,
,Донецька,16.0,2756.1,171.9,0.3,58.4,195.8,15.7,2697.7,171.5,Donetsk,,,
,Житомирська,17.3,3650.8,211.0,0.2,63.9,389.3,17.1,3586.9,209.3,Zhytomyr,,,
,Закарпатська,11.5,2459.2,212.6,к,к,к,к,к,к,Zakarpattya,,,
,Запорізька,10.5,1860.2,176.6,0.8,168.1,212.0,9.7,1692.1,173.7,Zaporizhzhya,,,
,Івано-Франківська,10.9,1864.9,172.2,0.8,29.6,38.2,10.1,1835.3,182.5,Ivano-Frankivsk,,,
,Київська,32.9,6639.9,201.8,0.8,293.1,376.4,32.1,6346.8,197.5,Kyiv,,,
,Кіровоградська,16.9,2574.4,152.3,0.8,50.1,58.9,16.1,2524.3,157.2,Kirovohrad,,,
,Луганська,5.5,1521.0,277.8,–,–,–,5.5,1521.0,277.8,Luhansk,,,
,Львівська,43.2,8386.5,194.3,2.6,421.1,162.5,40.6,7965.4,196.3,Lviv,,,
,Миколаївська,18.4,6149.6,336.1,5.2,4142.7,809.8,13.2,2006.9,152.3,Mikolayiv,,,
,Одеська,15.1,2348.0,156.4,2.0,363.1,185.7,13.1,1984.9,152.1,Odesa,,,
,Полтавська,24.2,5596.4,231.0,0.1,33.2,253.8,24.1,5563.2,230.9,Poltava,,,
,Рівненська,12.3,2571.2,207.6,0.3,67.1,198.6,12.0,2504.1,207.8,Rivne ,,,
,Сумська,11.5,2060.7,178.8,0.0,3.2,101.9,11.5,2057.5,179.0,Sumy,,,
,Тернопільська,10.3,2404.5,232.5,0.5,127.0,244.2,9.8,2277.5,231.9,Ternopil,,,
,Харківська,31.2,5015.0,160.7,0.4,153.3,383.0,30.8,4861.7,157.9,Kharkiv,,,
,Херсонська,39.4,11166.2,283.2,8.7,4975.8,570.9,30.7,6190.4,201.5,Kherson,,,
,Хмельницька,10.4,2186.2,210.5,0.3,83.3,307.8,10.1,2102.9,207.9,Khmelnytskiy,,,
,Черкаська,21.3,3611.6,170.2,5.8,845.8,146.6,15.5,2765.8,178.9,Cherkasy,,,
,Чернівецька,12.8,2510.7,195.2,к,к,к,к,к,к,Chernivtsi,,,
,Чернігівська,11.2,1881.7,167.0,0.1,12.5,96.2,11.1,1869.2,167.9,Chernihiv,,,
"на 01 грудня 2020 / 
as of 01 December 2020",,455.8,91137.3,199.9,34.6,13928.2,400.5,421.2,77209.1,183.3,,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,,
"Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,,,,,,
