"Динаміка обсягу виробництва культур овочевих відкритого ґрунту на 01 грудня 2021 року1
Dynamics of vegetables grown in the open production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,94165.4,103.3,12910.5,92.7,81254.9,105.2,Ukraine,
,Вінницька,4942.1,117.2,28.9,61.5,4913.2,117.8,Vinnytsya,
,Волинська,2783.7,100.5,185.8,104.1,2597.9,100.2,Volyn,
,Дніпропетровська,7224.8,116.4,786.9,84.4,6437.9,122.1,Dnipropetrovsk,
,Донецька,2756.1,117.9,58.4,74.8,2697.7,119.4,Donetsk,
,Житомирська,3650.8,92.5,63.9,81.7,3586.9,92.7,Zhytomyr,
,Закарпатська,2459.2,100.9,к,к,к,к,Zakarpattya,
,Запорізька,1860.2,106.8,168.1,86.1,1692.1,109.4,Zaporizhzhya,
,Івано-Франківська,1864.9,103.6,29.6,127.1,1835.3,103.3,Ivano–Frankivsk,
,Київська,6639.9,124.2,293.1,96.3,6346.8,125.9,Kyiv,
,Кіровоградська,2574.4,101.5,50.1,74.8,2524.3,102.2,Kirovohrad,
,Луганська,1521.0,108.6,–,–,1521.0,108.6,Luhansk,
,Львівська,8386.5,105.6,421.1,162.5,7965.4,103.7,Lviv,
,Миколаївська,6149.6,110.2,4142.7,107.6,2006.9,115.8,Mikolayiv,
,Одеська,2348.0,99.2,363.1,85.6,1984.9,102.2,Odesa,
,Полтавська,5596.4,100.7,33.2,75.4,5563.2,100.9,Poltava,
,Рівненська,2571.2,99.1,67.1,87.1,2504.1,99.5,Rivne ,
,Сумська,2060.7,101.7,3.2,70.4,2057.5,101.8,Sumy,
,Тернопільська,2404.5,102.2,127.0,174.2,2277.5,99.9,Ternopil,
,Харківська,5015.0,98.2,153.3,84.0,4861.7,98.7,Kharkiv,
,Херсонська,11166.2,89.6,4975.8,81.8,6190.4,97.0,Kherson,
,Хмельницька,2186.2,99.2,83.3,74.6,2102.9,100.5,Khmelnytskiy,
,Черкаська,3611.6,101.6,845.8,98.5,2765.8,102.6,Cherkasy,
,Чернівецька,2510.7,101.1,к,к,к,к,Chernivtsi,
,Чернігівська,1881.7,87.1,12.5,37.1,1869.2,87.9,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
" Символ  (к) – дані не оприлюднюються з метою забезпечення виконання вимог Закону України ""Про державну статистику"" щодо конфіденційності статистичної інформації. / 
Symbol (к) – data are not published in order to ensure compliance with the requirements of the Law of Ukraine ""On the State Statistics"" regarding confidentiality of statistical information.",,,,,,,,,
