"Динаміка обсягу виробництва культур зернових і зернобобових на 01 грудня 2021 року1
Dynamics of cereal and leguminous crops production as of 01 December 20211",,,,,,,,,
(тис.ц / thsd. centner),,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,"Підприємства / 
Enterprises ",,"Господарства населення / 
Households",,,
,,2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",2021,"2021 у % до / 
 % to 2020",,
Україна,,845703.6,133.5,678736.0,136.1,166967.6,124.0,Ukraine,
,Вінницька,65956.5,162.2,56327.7,162.5,9628.8,159.9,Vinnytsya,
,Волинська,15232.4,114.1,10675.6,124.5,4556.8,95.4,Volyn,
,Дніпропетровська,49130.4,137.5,33667.1,136.7,15463.3,139.2,Dnipropetrovsk,
,Донецька,22540.9,111.9,16446.7,111.7,6094.2,112.4,Donetsk,
,Житомирська,34862.2,152.5,31076.3,163.0,3785.9,99.6,Zhytomyr,
,Закарпатська,3238.9,111.8,880.7,126.1,2358.2,107.3,Zakarpattya,
,Запорізька,38469.1,128.4,28311.2,125.5,10157.9,137.1,Zaporizhzhya,
,Івано-Франківська,9462.6,118.9,6412.9,129.4,3049.7,101.7,Ivano–Frankivsk,
,Київська,45431.9,156.8,41400.7,162.5,4031.2,115.1,Kyiv,
,Кіровоградська,48133.7,180.2,38098.0,187.2,10035.7,157.6,Kirovohrad,
,Луганська,13098.6,95.2,10480.1,93.1,2618.5,104.3,Luhansk,
,Львівська,17139.2,123.0,12268.4,129.1,4870.8,109.7,Lviv,
,Миколаївська,38701.0,161.6,28335.1,175.1,10365.9,133.4,Mikolayiv,
,Одеська,52452.0,259.6,38008.3,323.2,14443.7,171.0,Odesa,
,Полтавська,56837.0,112.6,46624.6,113.5,10212.4,108.6,Poltava,
,Рівненська,16396.0,129.6,11627.7,145.6,4768.3,102.3,Rivne ,
,Сумська,41064.7,84.6,37964.3,83.6,3100.4,98.4,Sumy,
,Тернопільська,31404.8,122.9,25203.4,127.5,6201.4,107.2,Ternopil,
,Харківська,49768.4,102.6,38164.4,104.7,11604.0,96.4,Kharkiv,
,Херсонська,35995.4,131.7,24189.2,130.1,11806.2,135.2,Kherson,
,Хмельницька,47774.2,125.2,43071.3,126.5,4702.9,114.6,Khmelnytskiy,
,Черкаська,48151.6,190.0,41601.9,198.9,6549.7,148.0,Cherkasy,
,Чернівецька,7128.0,125.8,2834.8,156.0,4293.2,111.5,Chernivtsi,
,Чернігівська,57334.1,114.5,55065.6,114.0,2268.5,128.5,Chernihiv,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях. /
Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,
