"Збір урожаю кукурудзи кормової на 01 грудня 2021 року1
Harvesting of fodder roots as of 01 December 20211",,,,,,,,,,,,,
,,"Господарства усіх категорій / 
All agricultural holdings",,,"Підприємства / 
Еnterprises ",,,"Господарства населення / 
Households",,,,,
,,"площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area","площа зібрана,
тис.га / 
harvested area, 
thsd.ha ","обсяг 
виробництва, 
тис.ц / 
volume of production, 
thsd. centner","урожайність, 
ц з 1 га зібраної площі / 
yield, centner per ha of the harvested area",,,
Україна,,191.8,59470.5,310.1,174.9,55817.2,319.2,16.9,3653.3,216.1,Ukraine,,
,Вінницька,14.9,5577.2,374.1,14.7,5526.1,376.6,0.2,51.1,216.7,Vinnytsya,,
,Волинська,7.0,2178.5,310.1,5.4,1822.3,338.0,1.6,356.2,218.0,Volyn,,
,Дніпропетровська,6.7,1415.9,211.6,4.8,1031.7,216.3,1.9,384.2,200.0,Dnipropetrovsk,,
,Донецька,5.5,1286.9,235.4,3.9,924.4,239.9,1.6,362.5,224.6,Donetsk,,
,Житомирська,6.0,1795.3,298.8,5.6,1707.3,302.7,0.4,88.0,240.0,Zhytomyr,,
,Закарпатська,–,–,–,–,–,–,–,–,–,Zakarpattya,,
,Запорізька,3.0,769.3,256.3,2.9,756.8,256.6,0.1,12.5,239.8,Zaporizhzhya,,
,Івано-Франківська,1.7,633.0,379.4,1.6,620.5,384.5,0.1,12.5,228.0,Ivano-Frankivsk,,
,Київська,13.3,4752.5,356.2,12.8,4581.0,355.7,0.5,171.5,368.0,Kyiv,,
,Кіровоградська,5.0,1658.0,329.9,5.0,1658.0,329.9,–,–,–,Kirovohrad,,
,Луганська,3.1,469.8,155.5,3.0,424.2,145.2,0.1,45.6,450.0,Luhansk,,
,Львівська,1.1,435.5,377.8,1.1,435.5,377.8,–,–,–,Lviv,,
,Миколаївська,5.8,1161.0,199.2,2.8,682.1,240.5,3.0,478.9,160.0,Mikolayiv,,
,Одеська,4.0,607.7,154.2,3.8,592.7,157.1,0.2,15.0,88.7,Odesa,,
,Полтавська,27.1,7268.1,268.5,26.6,7112.1,267.6,0.5,156.0,314.7,Poltava,,
,Рівненська,3.4,1155.0,339.1,2.9,1004.6,344.0,0.5,150.4,310.0,Rivne ,,
,Сумська,10.0,3359.8,335.2,9.8,3305.7,338.0,0.2,54.1,223.2,Sumy,,
,Тернопільська,3.9,1913.1,480.2,3.8,1875.5,487.3,0.1,37.6,278.3,Ternopil,,
,Харківська,22.0,4708.5,213.8,21.7,4658.2,214.8,0.3,50.3,150.0,Kharkiv,,
,Херсонська,6.3,1446.4,229.5,1.7,480.0,282.2,4.6,966.4,210.0,Kherson,,
,Хмельницька,12.1,5604.4,465.1,11.7,5470.7,468.0,0.4,133.7,371.1,Khmelnytskiy,,
,Черкаська,13.9,4946.5,355.3,13.3,4819.7,363.0,0.6,126.8,197.0,Cherkasy,,
,Чернівецька,0.6,167.6,305.0,0.6,167.6,305.0,–,–,–,Chernivtsi,,
,Чернігівська,15.4,6160.5,401.0,15.4,6160.5,401.0,–,–,–,Chernihiv,,
"на 01 грудня 2020 / 
as of 01 December 2020",,237.4,58367.4,246.2,219.7,54689.7,249.2,17.7,3677.7,209.3,,,
"1 Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях./ 
  Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions. ",,,,,,,,,,,,,
